,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,win_rate,best_month,worst_month,final_value,min_equity_value,valid_for_chart
long_only scaled cap10 top30 raw mom3-1,200.6492104727326,0.22325309643909752,0.31044904421814173,0.7191295982287688,-0.45766216747735067,0.5822784810126582,0.37996696087275206,-0.22994858472794386,201.6492104727326,0.8527952517385008,True
long_only equal top40 raw mom3-1,70.15787209124419,0.17581116696319898,0.25040618701913075,0.7021039258497523,-0.4883323181752459,0.5949367088607594,0.2545839987030626,-0.2819957030111114,71.15787209124419,0.9444321109086454,True
long_only scaled cap30 top40 raw mom3-1,185.48514959926308,0.21962690672411744,0.3065243181826419,0.7165072840754292,-0.45514452924114523,0.5949367088607594,0.4537194194825494,-0.21891292891423061,186.48514959926308,0.8794772008002134,True
long_only scaled cap25 top40 raw mom3-1,180.4899861425563,0.21837005167868861,0.30514310886635504,0.7156316014802392,-0.45514452924114523,0.5949367088607594,0.42746873451558814,-0.21891292891423061,181.4899861425563,0.8794772008002134,True
long_only scaled cap20 top40 raw mom3-1,180.2993844777174,0.2183214370598281,0.3035392041930507,0.7192528478824628,-0.45514452924114523,0.5949367088607594,0.4012180495486269,-0.21891292891423061,181.2993844777174,0.8794772008002134,True
long_only scaled cap15 top40 raw mom3-1,180.73431228003707,0.2184322974093562,0.30234696096058855,0.7224557399729552,-0.45514452924114523,0.5949367088607594,0.3749673645816655,-0.21891292891423061,181.73431228003707,0.8794772008002134,True
long_only scaled cap10 top40 raw mom3-1,178.90488629479373,0.2179642550235963,0.2980943960292248,0.7311920583781366,-0.45536707448351277,0.5917721518987342,0.368388231786206,-0.21891292891423061,179.90488629479373,0.8847013394267818,True
classic_long_short equal top10 raw mom3-1,-8.011091813347008,,3.0565754106890592,,-11.124871608658752,0.5,0.21862784549741804,-15.655723003894416,-7.011091813347007,-12.242701259516146,False
classic_long_short scaled cap30 top10 raw mom3-1,-9.52675051401683,,16.20832431736863,,-14.391290391429983,0.5031645569620253,0.332615707755444,-83.1643727807876,-8.52675051401683,-24.750979121978634,False
classic_long_short scaled cap25 top10 raw mom3-1,-8.811019098560216,,15.117475862786518,,-14.068969582951976,0.5031645569620253,0.321323382103356,-77.56589370616129,-7.811019098560216,-23.210248407847917,False
classic_long_short scaled cap20 top10 raw mom3-1,-8.056078951951218,,12.103943192579885,,-13.420385463818944,0.5063291139240507,0.321323382103356,-62.09865309620803,-7.056078951951219,-21.695394506756475,False
classic_long_short scaled cap15 top10 raw mom3-1,-8.088233286522293,,9.090768255591525,,-13.280368112581595,0.5126582278481012,0.31891656387401374,-46.63141248625477,-7.088233286522292,-20.61785308206211,False
classic_long_short scaled cap10 top10 raw mom3-1,-7.59801322913626,,6.076430484972784,,-12.356104816074057,0.5126582278481012,0.2950180198556936,-31.157010127699465,-6.59801322913626,-16.541755822363214,False
classic_long_short equal top20 raw mom3-1,-5.925978232212288,,1.5366471738243417,,-6.5223932376824525,0.5158227848101266,0.12238397547180582,-7.85554982869812,-4.925978232212288,-7.900124026265771,False
classic_long_short scaled cap30 top20 raw mom3-1,-24.86807376497911,,10.341513177297731,,-27.254607822093178,0.5031645569620253,0.2699758758699236,-53.0580442340954,-23.86807376497911,-49.602353446805225,False
classic_long_short scaled cap25 top20 raw mom3-1,-25.109423999996455,,10.341520592336828,,-27.52009031684933,0.5031645569620253,0.2699758758699236,-53.0580442340954,-24.109423999996455,-50.10392469967129,False
classic_long_short scaled cap20 top20 raw mom3-1,-25.22264009642569,,10.341519850745653,,-27.786907990017042,0.5031645569620253,0.26821497700161834,-53.0580442340954,-24.22264009642569,-50.27515458024679,False
classic_long_short scaled cap15 top20 raw mom3-1,-22.26351414881749,,9.083679078604506,,-24.843423253989222,0.5,0.24653098197845175,-46.60200258765973,-21.26351414881749,-44.49548557428807,False
classic_long_short scaled cap10 top20 raw mom3-1,-15.417280341401904,,6.070497649437074,,-17.433018852552788,0.509493670886076,0.23477678200478455,-31.1340393507781,-14.417280341401904,-30.687008026505822,False
classic_long_short equal top25 raw mom3-1,-5.708747840950602,,1.2319915937141503,,-5.6890909413080335,0.509493670886076,0.11959489154237128,-6.291975591386089,-4.708747840950602,-7.483271590324085,False
classic_long_short scaled cap30 top25 raw mom3-1,-24.39280703278238,,8.207636639199071,,-24.425961619170852,0.5158227848101266,0.2592163474329113,-42.107349250066875,-23.39280703278238,-44.98941014058902,False
classic_long_short scaled cap25 top25 raw mom3-1,-24.604498070224775,,8.207643311026777,,-24.637952685967523,0.5158227848101266,0.2592163474329113,-42.107349250066875,-23.604498070224775,-45.396537634661726,False
classic_long_short scaled cap20 top25 raw mom3-1,-24.777905877140913,,8.207648576820088,,-24.850892147226464,0.5158227848101266,0.2592163474329113,-42.107349250066875,-23.777905877140913,-45.73003822465067,False
classic_long_short scaled cap15 top25 raw mom3-1,-24.794869754660127,,8.20761476292225,,-25.06478000294767,0.5158227848101266,0.23828822697283072,-42.107349250066875,-23.794869754660127,-45.76519473145951,False
classic_long_short scaled cap10 top25 raw mom3-1,-18.62589052273073,,6.065207225662525,,-19.090990588742535,0.5253164556962026,0.21603660512367426,-31.109764662140783,-17.62589052273073,-34.29384391495166,False
classic_long_short equal top30 raw mom3-1,-4.713747108623252,,1.031452678398395,,-4.931041124375003,0.5253164556962026,0.10017847548243193,-5.26397755068714,-3.7137471086232523,-5.8009041720160885,False
classic_long_short scaled cap30 top30 raw mom3-1,-22.419449576206098,,6.410096926752353,,-21.11499667060474,0.5189873417721519,0.2383190881169997,-32.88191466697008,-21.419449576206098,-39.60625995210291,False
classic_long_short scaled cap25 top30 raw mom3-1,-22.597288911271697,,6.410103124800246,,-21.28200552020287,0.5189873417721519,0.2383190881169997,-32.88191466697008,-21.597288911271697,-39.9350989780199,False
classic_long_short scaled cap20 top30 raw mom3-1,-22.775852323531453,,6.410109535684051,,-21.449694350409167,0.5189873417721519,0.2383190881169997,-32.88191466697008,-21.775852323531453,-40.26527688005855,False
classic_long_short scaled cap15 top30 raw mom3-1,-22.615825344949272,,6.410079120037975,,-21.618063161223645,0.5189873417721519,0.22414673696376614,-32.88191466697008,-21.615825344949272,-40.065390775904966,False
classic_long_short scaled cap10 top30 raw mom3-1,-21.23027365780488,,6.061786073654194,,-20.67657363564615,0.5221518987341772,0.20035509868344092,-31.094181108139217,-20.23027365780488,-37.844030730495646,False
classic_long_short equal top40 raw mom3-1,-3.6360466859261074,,0.7802854107368002,,-3.902601535753201,0.5474683544303798,0.07865320363342722,-3.9780454005751644,-2.6360466859261074,-3.9397302211472396,False
classic_long_short scaled cap30 top40 raw mom3-1,-20.08771299836568,,5.344740128607439,,-20.14104205217277,0.5253164556962026,0.2022527027555132,-27.41574950293593,-19.08771299836568,-32.92163317875461,False
classic_long_short scaled cap25 top40 raw mom3-1,-20.218785970952588,,5.344745123940412,,-20.27248122879934,0.5253164556962026,0.2022527027555132,-27.41574950293593,-19.218785970952588,-33.14770197618073,False
classic_long_short scaled cap20 top40 raw mom3-1,-20.350300556787833,,5.344750292184133,,-20.404363252495,0.5253164556962026,0.2022527027555132,-27.41574950293593,-19.350300556787833,-33.374532448374765,False
classic_long_short scaled cap15 top40 raw mom3-1,-20.439091611261706,,5.344753412491105,,-20.53668812325975,0.5253164556962026,0.2021027855731802,-27.41574950293593,-19.439091611261706,-33.531909156363305,False
classic_long_short scaled cap10 top40 raw mom3-1,-20.04868140572557,,5.344697272931177,,-20.669455841093594,0.5253164556962026,0.17585210060621892,-27.41574950293593,-19.04868140572557,-33.06359830496959,False
directional_abs equal top10 raw mom3-1,51.36636277801201,0.16219893001737407,6.130815799728151,0.026456337185104498,-1.1684751083418612,0.5284810126582279,0.5788477769461203,-31.3745624573866,52.36636277801201,-1.5878797382882937,False
directional_abs scaled cap30 top10 raw mom3-1,155.21150046951476,0.21145017529758325,12.389257632225958,0.017067219164736375,-1.1923648824243411,0.5348101265822784,0.5889990228427531,-63.5246967989379,156.21150046951476,-2.32981365672027,False
directional_abs scaled cap25 top10 raw mom3-1,155.03452817160027,0.21139802836321442,12.389213187189746,0.01706307133222929,-1.1923884691363051,0.5348101265822784,0.5889990228427531,-63.5246967989379,156.03452817160027,-2.3137151279334423,False
directional_abs scaled cap20 top10 raw mom3-1,150.56719408799222,0.21006247355708263,12.156003674650682,0.01728055364076048,-1.1925280963211644,0.5316455696202531,0.5889990228427531,-62.32731466015095,151.56719408799222,-2.29745541299451,False
directional_abs scaled cap15 top10 raw mom3-1,112.63662229971227,0.19689942291739082,9.143259766239268,0.02153492604950651,-1.2001080661983805,0.5379746835443038,0.5889990228427531,-46.853454186778684,113.63662229971227,-2.3465996010569707,False
directional_abs scaled cap10 top10 raw mom3-1,51.36636277801194,0.16219893001737407,6.130815799728151,0.026456337185104498,-1.168475108341861,0.5284810126582279,0.5788477769461203,-31.3745624573866,52.36636277801194,-1.587879738288291,False
directional_abs equal top20 raw mom3-1,-12.34360865873724,,3.1149684789699825,,-4.10004732087393,0.5316455696202531,0.47835561727193376,-15.883388885324313,-11.34360865873724,-19.259123580803173,False
directional_abs scaled cap30 top20 raw mom3-1,-20.631138529284506,,7.383991075679779,,-4.233878483190704,0.5316455696202531,0.4985467720505689,-37.836553819395746,-19.631138529284506,-32.04338954144516,False
directional_abs scaled cap25 top20 raw mom3-1,-20.625198154095052,,7.383993259752688,,-4.254417091884328,0.5316455696202531,0.4985467720505689,-37.836553819395746,-19.625198154095052,-32.05943291877795,False
directional_abs scaled cap20 top20 raw mom3-1,-20.518860051421235,,7.383971364181499,,-4.275020644713624,0.5316455696202531,0.4985467720505689,-37.836553819395746,-19.518860051421235,-32.030680439017715,False
directional_abs scaled cap15 top20 raw mom3-1,-20.264038425839452,,7.383916101131966,,-4.295691265180979,0.5316455696202531,0.4985467720505689,-37.836553819395746,-19.264038425839452,-31.699764410727095,False
directional_abs scaled cap10 top20 raw mom3-1,-16.256760295012835,,6.124995476074532,,-3.746292727123434,0.5379746835443038,0.4985467720505689,-31.367286948617185,-15.256760295012835,-25.45282418752874,False
directional_abs equal top25 raw mom3-1,-18.679115060082072,,2.5041431094639695,,-5.9038720386871315,0.5348101265822784,0.4723505171081621,-12.744979691708357,-17.679115060082072,-32.29452931985723,False
directional_abs scaled cap30 top25 raw mom3-1,-49.6884072182007,,6.267205741109083,,-8.964796838979012,0.5316455696202531,0.49086475292293785,-32.104668508844526,-48.6884072182007,-82.76235588641639,False
directional_abs scaled cap25 top25 raw mom3-1,-49.9076735420442,,6.267212150841875,,-9.009669973861683,0.5316455696202531,0.49086475292293785,-32.104668508844526,-48.9076735420442,-83.13507289575527,False
directional_abs scaled cap20 top25 raw mom3-1,-49.49588275088943,,6.267206075921707,,-9.054667278549424,0.5316455696202531,0.49086475292293785,-32.104668508844526,-48.49588275088943,-82.72192896444636,False
directional_abs scaled cap15 top25 raw mom3-1,-49.16028294452263,,6.267155399452274,,-9.100864854562031,0.5316455696202531,0.49086475292293785,-32.104668508844526,-48.16028294452263,-82.55210062602126,False
directional_abs scaled cap10 top25 raw mom3-1,-46.89033988486123,,6.116807507903742,,-8.958954518058174,0.5316455696202531,0.49086475292293785,-31.332386730906386,-45.89033988486123,-79.16915438601093,False
directional_abs equal top30 raw mom3-1,-16.772228789166,,2.0977141101310646,,-5.731972489405423,0.5506329113924051,0.44969693242794945,-10.655287960987094,-15.772228789166002,-26.824949705809374,False
directional_abs scaled cap30 top30 raw mom3-1,-53.52419073837308,,5.519520672544338,,-10.054751667536983,0.5253164556962026,0.4719856275478061,-28.26718538697443,-52.52419073837308,-85.6175814528092,False
directional_abs scaled cap25 top30 raw mom3-1,-53.79849005546131,,5.5195276853072235,,-10.10203868260363,0.5253164556962026,0.4719856275478061,-28.26718538697443,-52.79849005546131,-86.06470579291054,False
directional_abs scaled cap20 top30 raw mom3-1,-53.612477375797305,,5.519526955724413,,-10.149446580281403,0.5253164556962026,0.4719856275478061,-28.26718538697443,-52.612477375797305,-85.90873505424949,False
directional_abs scaled cap15 top30 raw mom3-1,-53.33852656243993,,5.519496376215567,,-10.196975360570299,0.5253164556962026,0.4719856275478061,-28.26718538697443,-52.33852656243993,-85.85423159063454,False
directional_abs scaled cap10 top30 raw mom3-1,-52.1671765734536,,5.519430107969973,,-10.254237624440618,0.5253164556962026,0.4719856275478061,-28.26718538697443,-51.1671765734536,-84.19190058682646,False
directional_abs equal top40 raw mom3-1,-16.037472644847263,,1.5943891220103883,,-5.8056144307013975,0.5537974683544303,0.4300883046224956,-8.06529340726682,-15.037472644847263,-25.37515750185712,False
directional_abs scaled cap30 top40 raw mom3-1,-60.17459962447478,,4.573574341556331,,-12.109857500460057,0.5348101265822784,0.45337590958674945,-23.41169716275748,-59.17459962447478,-97.1901648371265,False
directional_abs scaled cap25 top40 raw mom3-1,-60.415597799117,,4.573580158338966,,-12.155104200820311,0.5348101265822784,0.45337590958674945,-23.41169716275748,-59.415597799117,-97.58598757978247,False
directional_abs scaled cap20 top40 raw mom3-1,-60.535402670766935,,4.573584576040874,,-12.20043837314894,0.5348101265822784,0.45337590958674945,-23.41169716275748,-59.535402670766935,-97.78275875014674,False
directional_abs scaled cap15 top40 raw mom3-1,-60.178779588503964,,4.573573488094446,,-12.24586001744594,0.5348101265822784,0.45337590958674945,-23.41169716275748,-59.178779588503964,-97.58239262841471,False
directional_abs scaled cap10 top40 raw mom3-1,-58.88809219629923,,4.573506911522357,,-12.288928956435136,0.5348101265822784,0.45337590958674945,-23.41169716275748,-57.88809219629923,-95.66689910439632,False
long_only equal top10 voladj3 mom3-1,97.9314042729581,0.19127692728332546,0.28144588216060584,0.6796224049004708,-0.4828531777253209,0.6222222222222222,0.5243125572973556,-0.24609623854400448,98.9314042729581,0.9714873884159875,True
long_only scaled cap30 top10 voladj3 mom3-1,112.48919449233865,0.19752332566713493,0.2832560469310677,0.6973313643510798,-0.47640519939086534,0.6063492063492063,0.4712436745543875,-0.24957254710478535,113.48919449233865,0.9568269740580777,True
long_only scaled cap25 top10 voladj3 mom3-1,110.16087338723673,0.19657803564261767,0.2823309066174603,0.6962682123532721,-0.4800122163560918,0.5968253968253968,0.4712436745543875,-0.24451054036470923,111.16087338723673,0.9450617906209504,True
long_only scaled cap20 top10 voladj3 mom3-1,110.57980969053064,0.1967495189272559,0.2831306196055699,0.6949072452896413,-0.4855455797748701,0.5904761904761905,0.4522686913067609,-0.251423261693138,111.57980969053064,0.9407363526102747,True
