Date,XOM,CVX,COP,EOG,OXY,FANG,DVN,APA,PR,MTDR,CHRD,OVV,CNQ,SU,CVE,IMO,PBR,YPF,EC,SHEL,BP,TTE,EQNR,WMB,KMI,OKE,TRP,ENB,LNG,ET,EPD,MPLX,PAA,VLO,MPC,PSX,DINO,SUN,SLB,HAL,BKR,NOV,FTI,HP,PTEN,LBRT,RES,NBR,NEM,GOLD,AEM,WPM,FNV,RGLD,KGC,AU,HMY,GFI,AGI,OR,PAAS,HL,CDE,AG,FSM,SBSW,FCX,SCCO,TECK,RIO,BHP,VALE,AA,CENX,CLF,NUE,STLD,RS,CRS,ATI,MT,MP,LIN,APD,DD,DOW,LYB,CE,FMC,MOS,NTR,CF,WY,VMC,MLM,CCJ,UEC
2000-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-07-31,0.022296911102362538,0.059469222341280714,0.034916079836934344,0.03798953489092405,0.14036797687257252,,0.02233630336290604,-0.001938141849210484,,,,,,0.0875027170334548,,0.039190302343736994,,-0.09047250630660508,,0.0002013452664184623,0.011165025041340426,-0.0014036931433050182,,0.005430583135964895,,0.07270901497042725,0.15107082294365703,0.05861014865465952,-0.11142475907792504,,0.2087159814271593,,0.14939713770423135,0.12442390258368308,,,0.49745656103053304,,-0.11324415541030597,-0.017374997428254102,0.021079868093075493,0.009228054439409883,,0.05217871618271874,-0.05131921073432866,,0.21133075468123663,-0.0014155988240317496,0.025096463374374656,,0.1360021962266822,,,-0.007748492241618887,-0.0023101986634203042,0.026998468945103715,0.04926664201054631,0.12631251210621874,,,-0.009831562590846943,0.08915016081356142,-0.11393582294243232,,,,0.17070568257468266,0.014059327567564228,,0.08435264206579562,0.029164729663292865,,0.1426312669396379,0.25139877868858407,-0.0683055745102501,0.13576554311522848,0.09053668264247472,0.07954652335867762,0.005497089109410158,-0.002142051560904301,-0.29133681610333073,,0.08870594559810585,0.12087918658192431,0.0454726348018637,,,,0.04215345963601602,-0.10605833053033242,,,0.08697989921257854,0.0846839212967172,0.07364224549083787,0.230509085793849,
2001-08-31,0.01636085512705998,0.05678768083671892,0.02570899721789277,-0.012292838246255822,0.13135380782619,,0.0071016773521535015,-0.026979922013055324,,,,,,0.08472284038159428,,0.052091124037021874,,-0.120793044136835,,-0.0017255895741705718,0.004741780493453529,-0.0015047995070256448,,-0.01708244398551695,,0.0264646287006709,0.13546343095364421,0.05271245045320594,-0.1320025067674262,,0.20970527438971653,,0.14933557437507416,0.08584325882880894,,,0.44057205100867813,,-0.13046501317258374,-0.03877933329775196,-0.001378513601014486,-0.09023457546461344,,-0.02974809093197739,-0.14477037799323877,,0.18882593429719252,-0.10190020670404976,0.0427744863326438,,0.15191330163968142,,,0.10093510893416391,0.0754419168893965,0.04922647227567034,0.05099234201788305,0.11451436431390549,,,0.012010215206638808,0.11125404274315542,-0.1375024232969816,,,,0.11297502907130985,-0.012740192486593638,,0.05520735151597744,0.019621852466326528,,0.12668980477273006,0.2334718951646355,-0.06768744949185779,0.13103940420342397,0.08635998374946041,0.05440320527587228,-0.001987079688326787,0.012492128593692087,-0.22863207132914032,,0.07330887075979242,0.09809649720712099,0.05933254033336399,,,,0.0148835963103644,-0.11625437793967452,,,0.09607932445486123,0.0800952409380511,0.0596620301145836,0.18206377008980623,
2001-09-30,0.004630016059891551,0.04991698012702961,0.020197506193380788,-0.06754734118734251,0.11412686252654214,,-0.03193879898480012,-0.06255398288718794,,,,,,0.07961741881253692,,0.05222895792346072,,-0.1562936530096697,,-0.004232399351378646,0.005809946376160946,0.007559929434644008,,-0.041243071028343126,,-0.027126088317164565,0.11825257838528724,0.04696599973897064,-0.17094189718423425,,0.21639155917594177,,0.16181671056279012,0.07866137114791161,,,0.4207000375819845,,-0.14627550633832376,-0.08799096660482575,-0.027407972337157305,-0.19356951115501053,,-0.09524281691760073,-0.23987831154050132,,0.13798944754722453,-0.20057645951152148,0.07090232145538788,,0.18158773694623354,,,0.21844416185551419,0.152688073660602,0.0644742299698653,0.03711127715316542,0.108271226472201,,,0.03768473060849886,0.13138159605446975,-0.16675724520439372,,,,0.07960163054502045,-0.03282346662064861,,0.045276285612488865,0.013087509057167379,,0.10423475816863581,0.19068563100984592,-0.06972049168290817,0.12161873939945922,0.08304271106843464,0.050978744245383734,0.0027232730319999288,0.016766205492125374,-0.2285743359730259,,0.06436423123106705,0.08056770730641616,0.06166956256354239,,,,-0.019218617563314666,-0.10403685185835077,,,0.090022746187153,0.06958446976231869,0.026098910361520566,0.16252191434104124,
2001-10-31,-0.009968347877821415,0.028944448878351237,0.001682684508728327,-0.12094171787920571,0.07313099527972478,,-0.10360791749911469,-0.10175620116092232,,,,,,0.07553868183806656,,0.050494966512061534,,-0.20398174294595173,,-0.02611251177858387,-0.00043802218938060467,-0.0016968435853439434,,-0.08755237824669793,,-0.06280183938582751,0.10781175979468016,0.04492891894359441,-0.24192979080664379,,0.21032299949132027,,0.1441315774225178,0.03816120768674813,,,0.34679652729170485,,-0.16459250860120422,-0.1545277683239712,-0.06542902332266265,-0.2834415502069736,,-0.1591954475325411,-0.3225887832927291,,0.09343613669102702,-0.29286312193909736,0.11430342497120383,,0.2101944872520518,,,0.3014245426714408,0.21908453607546763,0.05161482395001338,0.04786576060017955,0.10337063548596737,,,0.0971570699121902,0.1855233576312798,-0.1779412909987168,,,,0.03210073339995767,-0.08372039115492969,,0.009810769713626488,-0.016570887082924757,,0.0453004499421219,0.03971656664495393,-0.09570514318412515,0.07327309616685151,0.025112051821751802,0.023820486100327498,-0.03802410604793893,-0.033076640830931425,-0.2277344707546457,,0.03509747574422728,0.04799179359018613,0.04978610699916741,,,,-0.07976514860481942,-0.12852537896663252,,,0.05498555162660557,0.03615362810287248,-0.002256561964624093,0.13535745212434547,
2001-11-30,-0.023488496327797037,0.016496566444060612,-0.013010864337357986,-0.12728225049357778,0.04062706989465359,,-0.14503062623119978,-0.09959379934177692,,,,,,0.08520720217094979,,0.04672757878202849,,-0.23729262210880642,,-0.04495427660754714,-0.010178503057429067,-0.006376050846538472,,-0.1134454153725093,,-0.08054367188769962,0.10033059461730542,0.05032625141593683,-0.31047477764107145,,0.19907462283950594,,0.1277964447412272,0.01101248723850845,,,0.2698331796517859,,-0.1684570861446485,-0.19949345406235974,-0.058528389959596194,-0.3194679736468724,,-0.17800177729858757,-0.33038640692044285,,0.08010815359949142,-0.3109526200975081,0.1335119378870262,,0.20238538172440146,,,0.3338975823950119,0.21992881247573104,0.03774589864399713,0.07158914001010097,0.09860253640495475,,,0.09885149277248817,0.17083346693004953,-0.1873949474393568,,,,-0.0055760411275047606,-0.132821344776354,,-0.017280887353474772,-0.03466177656010194,,-0.0016272556384165915,-0.07490630734322135,-0.09650603114385214,0.029971438309430276,-0.02241460984332977,-0.008174743537865736,-0.07407888931485918,-0.06164985489992847,-0.31227898560359935,,0.029422997704505738,0.023154630810296117,0.03737836082299495,,,,-0.13106166591514967,-0.11523862661211581,,,0.025877764652670887,-0.000803897689415245,-0.025016924591505063,0.10256546470472716,
2001-12-31,-0.04002981969255692,0.0023389682657357636,-0.019179458935534632,-0.12064492096177737,0.015683319777293425,,-0.18611823548573703,-0.10556168161958701,,,,,,0.08894719859572886,,0.03837460848599661,,-0.24127559819768785,,-0.0655049958723879,-0.029463720029000884,-0.023489706239246178,,-0.13544399887414116,,-0.08692093164879233,0.08470823407689987,0.0539909724266745,-0.3751054232979796,,0.1874165106825192,,0.11365565308421122,-0.013331812387150088,,,0.20686777167593995,,-0.1619003463361196,-0.24460967253753585,-0.061092037942729216,-0.3360039050745548,,-0.18168691047465857,-0.2873731706385888,,0.08594145726294533,-0.29290354768166227,0.10900063945969873,,0.18155293729780753,,,0.3193853009106342,0.1584436708191559,0.02984693346803069,0.07376264440983893,0.0949723005565597,,,0.08921561101187514,0.10594139365806554,-0.21214649117575068,,,,0.005252448626554607,-0.13542407286991076,,-0.005868296450653676,-0.016921218465617338,,-0.0044261205834332795,-0.11445900839039214,-0.08451030808342719,0.03031202844779246,-0.057175434733918395,-0.01949213611084677,-0.07602175078997075,-0.07618720236096577,-0.36815301499232067,,0.04664101499179529,0.02809232785263549,0.046714653186693766,,,,-0.14941632007954087,-0.08231659617877274,,,0.012006678383324587,-0.014470644831874324,-0.031461918316525894,0.0840885039087711,
