strategy_name,name,signal_type,lookback_months,skip_months,signal_family,strategy_type,top_n,weighting,max_weight,gross_exposure,volatility_lookback_months,fast_months,slow_months,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,win_rate,final_value,valid_for_chart,beta_SPY,alpha_SPY,corr_SPY,info_ratio_SPY,beta_XLE,alpha_XLE,corr_XLE,info_ratio_XLE,beta_XLB,alpha_XLB,corr_XLB,info_ratio_XLB,beta_GLD,alpha_GLD,corr_GLD,info_ratio_GLD,beta_DBC,alpha_DBC,corr_DBC,info_ratio_DBC
raw_12-1 | long_only | scaled cap15 | top10,raw_12-1,momentum,12.0,1,raw_momentum,long_only,10,scaled,0.15,1.0,,,,69463.85%,29.15%,38.32%,0.761,-63.70%,57.98%,695.639,True,1.048,22.67%,0.412,0.663,0.881,23.66%,0.577,0.712,1.029,22.38%,0.534,0.700,1.022,15.15%,0.478,0.477,0.962,22.39%,0.489,0.694
raw_12-1 | long_only | equal | top20,raw_12-1,momentum,12.0,1,raw_momentum,long_only,20,equal,,1.0,,,,18622.70%,22.69%,29.16%,0.778,-58.05%,60.26%,187.227,True,1.020,14.81%,0.528,0.606,0.789,16.50%,0.679,0.647,0.968,14.89%,0.660,0.664,0.825,12.13%,0.487,0.397,0.854,16.81%,0.556,0.679
raw_12-1 | long_only | scaled cap25 | top20,raw_12-1,momentum,12.0,1,raw_momentum,long_only,20,scaled,0.25,1.0,,,,64171.16%,28.75%,37.54%,0.766,-62.35%,58.31%,642.712,True,1.092,21.66%,0.439,0.668,0.892,22.96%,0.596,0.721,1.049,21.61%,0.555,0.708,0.946,14.74%,0.460,0.451,0.970,21.31%,0.514,0.701
raw_12-1 | long_only | scaled cap20 | top20,raw_12-1,momentum,12.0,1,raw_momentum,long_only,20,scaled,0.2,1.0,,,,58865.06%,28.32%,36.88%,0.768,-61.98%,58.31%,589.651,True,1.084,21.17%,0.444,0.665,0.883,22.49%,0.601,0.718,1.040,21.14%,0.560,0.705,0.948,14.39%,0.466,0.446,0.957,20.95%,0.514,0.696
raw_12-1 | long_only | scaled cap15 | top20,raw_12-1,momentum,12.0,1,raw_momentum,long_only,20,scaled,0.15,1.0,,,,56782.62%,28.14%,35.79%,0.786,-60.42%,57.98%,568.826,True,1.062,20.87%,0.448,0.671,0.863,22.18%,0.605,0.723,1.024,20.78%,0.568,0.714,0.948,14.48%,0.476,0.461,0.933,20.98%,0.511,0.707
raw_12-1 | long_only | equal | top30,raw_12-1,momentum,12.0,1,raw_momentum,long_only,30,equal,,1.0,,,,16294.81%,22.06%,26.70%,0.826,-56.17%,61.56%,163.948,True,1.008,13.75%,0.570,0.630,0.792,15.29%,0.744,0.705,0.943,13.96%,0.702,0.702,0.740,12.83%,0.471,0.408,0.879,16.40%,0.619,0.762
raw_12-1 | long_only | scaled cap25 | top30,raw_12-1,momentum,12.0,1,raw_momentum,long_only,30,scaled,0.25,1.0,,,,57268.21%,28.18%,34.61%,0.814,-59.12%,57.98%,573.682,True,1.067,20.45%,0.465,0.688,0.863,21.82%,0.625,0.748,1.027,20.38%,0.590,0.739,0.889,14.80%,0.467,0.467,0.944,20.51%,0.542,0.742
raw_12-1 | long_only | scaled cap20 | top30,raw_12-1,momentum,12.0,1,raw_momentum,long_only,30,scaled,0.2,1.0,,,,52750.38%,27.77%,34.41%,0.807,-59.12%,57.98%,528.504,True,1.062,20.11%,0.466,0.680,0.858,21.48%,0.626,0.738,1.023,20.03%,0.591,0.730,0.894,14.40%,0.472,0.459,0.938,20.13%,0.541,0.730
raw_12-1 | long_only | scaled cap15 | top30,raw_12-1,momentum,12.0,1,raw_momentum,long_only,30,scaled,0.15,1.0,,,,46536.11%,27.15%,33.82%,0.803,-58.84%,57.98%,466.361,True,1.055,19.51%,0.471,0.671,0.849,20.90%,0.630,0.728,1.014,19.45%,0.596,0.721,0.895,14.06%,0.476,0.452,0.927,19.79%,0.539,0.721
raw_12-1 | classic_long_short | equal | top10,raw_12-1,momentum,12.0,1,raw_momentum,classic_long_short,10,equal,,1.0,,,,-1618.05%,,313.26%,,-1082.48%,52.77%,-15.180,False,-3.048,-29.51%,-0.147,-0.219,-2.842,-29.44%,-0.228,-0.219,-2.030,-38.57%,-0.129,-0.220,1.638,-90.21%,0.083,-0.245,-2.373,-67.84%,-0.126,-0.228
raw_12-1 | classic_long_short | scaled cap25 | top10,raw_12-1,momentum,12.0,1,raw_momentum,classic_long_short,10,scaled,0.25,1.0,,,,-2793.98%,,1056.09%,,-1225.59%,54.07%,-26.940,False,-9.567,-112.82%,-0.137,-0.204,-9.183,-109.83%,-0.218,-0.205,-6.335,-141.65%,-0.119,-0.205,5.362,-307.53%,0.080,-0.225,-7.525,-233.77%,-0.119,-0.224
raw_12-1 | classic_long_short | scaled cap20 | top10,raw_12-1,momentum,12.0,1,raw_momentum,classic_long_short,10,scaled,0.2,1.0,,,,-2564.27%,,1056.20%,,-1168.77%,53.75%,-24.643,False,-9.573,-113.15%,-0.137,-0.205,-9.187,-110.17%,-0.218,-0.205,-6.340,-141.99%,-0.119,-0.205,5.368,-307.93%,0.080,-0.226,-7.534,-234.09%,-0.119,-0.225
raw_12-1 | classic_long_short | scaled cap15 | top10,raw_12-1,momentum,12.0,1,raw_momentum,classic_long_short,10,scaled,0.15,1.0,,,,-2145.93%,,925.09%,,-1091.48%,53.75%,-20.459,False,-8.432,-98.82%,-0.138,-0.206,-8.073,-96.39%,-0.219,-0.206,-5.589,-124.17%,-0.120,-0.207,4.707,-269.83%,0.080,-0.227,-6.616,-205.15%,-0.119,-0.225
raw_12-1 | classic_long_short | equal | top20,raw_12-1,momentum,12.0,1,raw_momentum,classic_long_short,20,equal,,1.0,,,,-1147.30%,,158.87%,,-863.26%,53.75%,-10.473,False,-1.593,-12.87%,-0.151,-0.237,-1.483,-12.86%,-0.234,-0.234,-1.075,-17.47%,-0.134,-0.238,0.831,-44.20%,0.083,-0.268,-1.277,-32.62%,-0.134,-0.227
raw_12-1 | classic_long_short | scaled cap25 | top20,raw_12-1,momentum,12.0,1,raw_momentum,classic_long_short,20,scaled,0.25,1.0,,,,-4603.07%,,636.60%,,-2271.64%,54.40%,-45.031,False,-5.841,-64.47%,-0.138,-0.206,-5.562,-63.11%,-0.219,-0.206,-3.871,-82.05%,-0.121,-0.206,3.252,-183.25%,0.081,-0.229,-4.590,-138.53%,-0.120,-0.223
raw_12-1 | classic_long_short | scaled cap20 | top20,raw_12-1,momentum,12.0,1,raw_momentum,classic_long_short,20,scaled,0.2,1.0,,,,-4367.44%,,636.59%,,-2156.72%,54.40%,-42.674,False,-5.845,-64.65%,-0.139,-0.206,-5.566,-63.29%,-0.219,-0.206,-3.872,-82.24%,-0.121,-0.207,3.254,-183.53%,0.081,-0.229,-4.596,-138.78%,-0.120,-0.223
raw_12-1 | classic_long_short | scaled cap15 | top20,raw_12-1,momentum,12.0,1,raw_momentum,classic_long_short,20,scaled,0.15,1.0,,,,-4039.84%,,636.59%,,-2018.03%,54.40%,-39.398,False,-5.848,-64.93%,-0.139,-0.207,-5.569,-63.57%,-0.220,-0.207,-3.875,-82.53%,-0.121,-0.207,3.257,-183.89%,0.081,-0.229,-4.601,-139.10%,-0.121,-0.224
raw_12-1 | classic_long_short | equal | top30,raw_12-1,momentum,12.0,1,raw_momentum,classic_long_short,30,equal,,1.0,,,,-977.59%,,107.04%,,-703.41%,56.03%,-8.776,False,-1.084,-6.90%,-0.153,-0.248,-1.006,-6.92%,-0.236,-0.243,-0.734,-10.00%,-0.136,-0.249,0.570,-28.09%,0.084,-0.284,-0.870,-20.20%,-0.136,-0.220
raw_12-1 | classic_long_short | scaled cap25 | top30,raw_12-1,momentum,12.0,1,raw_momentum,classic_long_short,30,scaled,0.25,1.0,,,,-4359.05%,,392.80%,,-2233.67%,55.37%,-42.590,False,-3.658,-36.68%,-0.140,-0.208,-3.461,-36.06%,-0.221,-0.208,-2.425,-47.68%,-0.123,-0.209,2.026,-111.07%,0.082,-0.234,-2.867,-83.20%,-0.122,-0.221
raw_12-1 | classic_long_short | scaled cap20 | top30,raw_12-1,momentum,12.0,1,raw_momentum,classic_long_short,30,scaled,0.2,1.0,,,,-4143.63%,,392.79%,,-2125.75%,55.37%,-40.436,False,-3.660,-36.86%,-0.141,-0.209,-3.465,-36.24%,-0.221,-0.209,-2.426,-47.87%,-0.123,-0.210,2.028,-111.34%,0.082,-0.234,-2.873,-83.44%,-0.122,-0.221
raw_12-1 | classic_long_short | scaled cap15 | top30,raw_12-1,momentum,12.0,1,raw_momentum,classic_long_short,30,scaled,0.15,1.0,,,,-3933.10%,,392.79%,,-2019.62%,55.37%,-38.331,False,-3.663,-37.05%,-0.141,-0.209,-3.468,-36.41%,-0.222,-0.209,-2.428,-48.07%,-0.123,-0.210,2.030,-111.62%,0.082,-0.235,-2.879,-83.69%,-0.122,-0.222
raw_12-1 | directional_abs | equal | top10,raw_12-1,momentum,12.0,1,raw_momentum,directional_abs,10,equal,,1.0,,,,7218.48%,18.27%,621.24%,0.029,-104.75%,53.75%,73.185,False,-5.773,-54.41%,-0.140,-0.194,-5.351,-54.61%,-0.216,-0.194,-3.694,-73.13%,-0.118,-0.194,3.365,-175.84%,0.086,-0.221,-4.355,-132.43%,-0.117,-0.219
raw_12-1 | directional_abs | scaled cap25 | top10,raw_12-1,momentum,12.0,1,raw_momentum,directional_abs,10,scaled,0.25,1.0,,,,14029.66%,21.35%,581.53%,0.037,-105.69%,54.40%,141.297,False,-5.322,-47.83%,-0.138,-0.188,-4.928,-48.06%,-0.213,-0.188,-3.374,-65.41%,-0.115,-0.189,3.207,-163.37%,0.087,-0.220,-3.964,-122.22%,-0.114,-0.216
raw_12-1 | directional_abs | scaled cap20 | top10,raw_12-1,momentum,12.0,1,raw_momentum,directional_abs,10,scaled,0.2,1.0,,,,13372.70%,21.13%,612.01%,0.035,-105.45%,54.07%,134.727,False,-5.598,-51.64%,-0.138,-0.189,-5.196,-51.76%,-0.213,-0.189,-3.558,-70.04%,-0.116,-0.190,3.365,-172.70%,0.087,-0.220,-4.188,-129.44%,-0.114,-0.217
raw_12-1 | directional_abs | scaled cap15 | top10,raw_12-1,momentum,12.0,1,raw_momentum,directional_abs,10,scaled,0.15,1.0,,,,11678.31%,20.49%,650.02%,0.032,-105.47%,53.75%,117.783,False,-5.955,-56.69%,-0.138,-0.191,-5.541,-56.67%,-0.214,-0.192,-3.798,-76.13%,-0.116,-0.192,3.555,-184.22%,0.087,-0.220,-4.482,-138.36%,-0.115,-0.218
raw_12-1 | directional_abs | equal | top20,raw_12-1,momentum,12.0,1,raw_momentum,directional_abs,20,equal,,1.0,,,,-2172.48%,,314.97%,,-400.83%,57.98%,-20.725,False,-3.031,-22.16%,-0.145,-0.194,-2.727,-23.14%,-0.217,-0.194,-1.909,-32.30%,-0.120,-0.195,1.740,-85.34%,0.087,-0.226,-2.297,-63.72%,-0.122,-0.214
raw_12-1 | directional_abs | scaled cap25 | top20,raw_12-1,momentum,12.0,1,raw_momentum,directional_abs,20,scaled,0.25,1.0,,,,-4009.13%,,356.72%,,-442.74%,55.70%,-39.091,False,-3.320,-23.26%,-0.140,-0.183,-3.005,-24.13%,-0.211,-0.183,-2.070,-34.57%,-0.115,-0.184,2.003,-95.69%,0.089,-0.219,-2.483,-70.65%,-0.116,-0.208
raw_12-1 | directional_abs | scaled cap20 | top20,raw_12-1,momentum,12.0,1,raw_momentum,directional_abs,20,scaled,0.2,1.0,,,,-3771.65%,,356.71%,,-421.75%,56.03%,-36.716,False,-3.323,-23.49%,-0.141,-0.183,-3.009,-24.36%,-0.212,-0.184,-2.072,-34.82%,-0.115,-0.184,2.006,-96.04%,0.089,-0.219,-2.489,-70.97%,-0.117,-0.209
raw_12-1 | directional_abs | scaled cap15 | top20,raw_12-1,momentum,12.0,1,raw_momentum,directional_abs,20,scaled,0.15,1.0,,,,-3476.24%,,356.69%,,-396.36%,55.37%,-33.762,False,-3.329,-23.80%,-0.141,-0.184,-3.014,-24.66%,-0.212,-0.185,-2.077,-35.14%,-0.116,-0.185,2.009,-96.48%,0.089,-0.220,-2.496,-71.39%,-0.117,-0.210
raw_12-1 | directional_abs | equal | top30,raw_12-1,momentum,12.0,1,raw_momentum,directional_abs,30,equal,,1.0,,,,-2578.15%,,213.60%,,-570.76%,58.96%,-24.781,False,-2.113,-11.75%,-0.149,-0.195,-1.864,-12.82%,-0.219,-0.195,-1.318,-18.95%,-0.123,-0.197,1.176,-54.69%,0.087,-0.228,-1.599,-40.44%,-0.125,-0.207
raw_12-1 | directional_abs | scaled cap25 | top30,raw_12-1,momentum,12.0,1,raw_momentum,directional_abs,30,scaled,0.25,1.0,,,,-7023.66%,,265.83%,,-819.88%,57.33%,-69.237,False,-2.500,-13.47%,-0.142,-0.178,-2.229,-14.49%,-0.210,-0.178,-1.537,-22.22%,-0.115,-0.179,1.511,-68.12%,0.090,-0.217,-1.860,-49.59%,-0.117,-0.201
raw_12-1 | directional_abs | scaled cap20 | top30,raw_12-1,momentum,12.0,1,raw_momentum,directional_abs,30,scaled,0.2,1.0,,,,-6635.68%,,265.82%,,-778.95%,57.33%,-65.357,False,-2.503,-13.69%,-0.142,-0.179,-2.232,-14.70%,-0.211,-0.179,-1.539,-22.45%,-0.115,-0.180,1.513,-68.44%,0.090,-0.218,-1.866,-49.87%,-0.117,-0.202
raw_12-1 | directional_abs | scaled cap15 | top30,raw_12-1,momentum,12.0,1,raw_momentum,directional_abs,30,scaled,0.15,1.0,,,,-6208.94%,,265.81%,,-732.52%,57.65%,-61.089,False,-2.507,-13.93%,-0.142,-0.180,-2.237,-14.94%,-0.211,-0.180,-1.541,-22.71%,-0.115,-0.181,1.516,-68.81%,0.090,-0.219,-1.872,-50.22%,-0.118,-0.203
voladj6_12-1 | long_only | equal | top10,voladj6_12-1,volatility_adjusted,12.0,1,vol_adjusted_momentum,long_only,10,equal,,1.0,6.0,,,18520.45%,22.67%,30.23%,0.750,-53.05%,61.24%,186.204,True,0.949,15.73%,0.474,0.572,0.764,16.98%,0.634,0.601,0.914,15.67%,0.600,0.610,0.805,12.41%,0.466,0.385,0.789,18.09%,0.498,0.667
voladj6_12-1 | long_only | scaled cap25 | top10,voladj6_12-1,volatility_adjusted,12.0,1,vol_adjusted_momentum,long_only,10,scaled,0.25,1.0,6.0,,,14968.11%,21.66%,31.83%,0.680,-57.23%,61.89%,150.681,True,0.873,16.12%,0.414,0.513,0.724,17.05%,0.571,0.523,0.865,15.81%,0.540,0.536,0.766,10.66%,0.435,0.291,0.789,16.16%,0.492,0.584
voladj6_12-1 | long_only | scaled cap20 | top10,voladj6_12-1,volatility_adjusted,12.0,1,vol_adjusted_momentum,long_only,10,scaled,0.2,1.0,6.0,,,16157.12%,22.02%,31.68%,0.695,-56.59%,61.24%,162.571,True,0.896,16.15%,0.427,0.527,0.736,17.18%,0.583,0.542,0.877,15.94%,0.550,0.553,0.781,11.03%,0.446,0.314,0.792,16.73%,0.496,0.609
voladj6_12-1 | long_only | scaled cap15 | top10,voladj6_12-1,volatility_adjusted,12.0,1,vol_adjusted_momentum,long_only,10,scaled,0.15,1.0,6.0,,,16421.87%,22.10%,31.38%,0.704,-55.89%,60.26%,165.219,True,0.934,15.76%,0.449,0.539,0.749,17.03%,0.599,0.555,0.895,15.74%,0.567,0.566,0.803,11.66%,0.456,0.347,0.795,17.52%,0.493,0.634
voladj6_12-1 | long_only | equal | top20,voladj6_12-1,volatility_adjusted,12.0,1,vol_adjusted_momentum,long_only,20,equal,,1.0,6.0,,,17749.32%,22.46%,26.68%,0.842,-54.62%,60.91%,178.493,True,0.978,14.34%,0.553,0.636,0.751,16.02%,0.706,0.673,0.918,14.51%,0.684,0.700,0.734,13.17%,0.469,0.420,0.831,17.33%,0.579,0.756
voladj6_12-1 | long_only | scaled cap25 | top20,voladj6_12-1,volatility_adjusted,12.0,1,vol_adjusted_momentum,long_only,20,scaled,0.25,1.0,6.0,,,14807.89%,21.61%,29.88%,0.723,-57.27%,60.91%,149.079,True,0.909,15.16%,0.459,0.537,0.737,16.31%,0.619,0.555,0.884,15.01%,0.588,0.569,0.771,11.48%,0.455,0.339,0.797,16.67%,0.517,0.639
voladj6_12-1 | long_only | scaled cap20 | top20,voladj6_12-1,volatility_adjusted,12.0,1,vol_adjusted_momentum,long_only,20,scaled,0.2,1.0,6.0,,,15604.71%,21.85%,29.76%,0.734,-57.20%,61.24%,157.047,True,0.912,15.31%,0.462,0.547,0.739,16.46%,0.623,0.567,0.885,15.17%,0.591,0.580,0.771,11.62%,0.457,0.346,0.799,16.76%,0.520,0.645
voladj6_12-1 | long_only | scaled cap15 | top20,voladj6_12-1,volatility_adjusted,12.0,1,vol_adjusted_momentum,long_only,20,scaled,0.15,1.0,6.0,,,16830.22%,22.21%,29.55%,0.752,-56.46%,61.24%,169.302,True,0.920,15.46%,0.470,0.562,0.743,16.65%,0.631,0.585,0.889,15.36%,0.598,0.598,0.771,11.87%,0.461,0.359,0.798,16.98%,0.521,0.657
voladj6_12-1 | long_only | equal | top30,voladj6_12-1,volatility_adjusted,12.0,1,vol_adjusted_momentum,long_only,30,equal,,1.0,6.0,,,13203.85%,21.07%,25.91%,0.813,-54.67%,62.87%,133.038,True,1.011,12.66%,0.589,0.610,0.787,14.28%,0.763,0.685,0.942,12.92%,0.723,0.687,0.708,12.57%,0.460,0.386,0.854,16.35%,0.607,0.750
voladj6_12-1 | long_only | scaled cap25 | top30,voladj6_12-1,volatility_adjusted,12.0,1,vol_adjusted_momentum,long_only,30,scaled,0.25,1.0,6.0,,,15213.04%,21.73%,28.37%,0.766,-55.77%,60.91%,153.130,True,0.935,14.60%,0.497,0.567,0.746,15.90%,0.660,0.595,0.896,14.58%,0.627,0.609,0.754,11.73%,0.466,0.358,0.818,16.52%,0.555,0.685
voladj6_12-1 | long_only | scaled cap20 | top30,voladj6_12-1,volatility_adjusted,12.0,1,vol_adjusted_momentum,long_only,30,scaled,0.2,1.0,6.0,,,15422.23%,21.80%,28.32%,0.770,-55.67%,60.91%,155.222,True,0.935,14.64%,0.498,0.570,0.746,15.95%,0.661,0.598,0.897,14.61%,0.629,0.613,0.755,11.76%,0.467,0.361,0.817,16.51%,0.555,0.685
voladj6_12-1 | long_only | scaled cap15 | top30,voladj6_12-1,volatility_adjusted,12.0,1,vol_adjusted_momentum,long_only,30,scaled,0.15,1.0,6.0,,,16262.08%,22.05%,28.17%,0.783,-55.34%,60.91%,163.621,True,0.935,14.80%,0.501,0.581,0.746,16.12%,0.664,0.610,0.897,14.78%,0.632,0.626,0.752,11.93%,0.468,0.369,0.816,16.61%,0.557,0.692
voladj6_12-1 | classic_long_short | equal | top10,voladj6_12-1,volatility_adjusted,12.0,1,vol_adjusted_momentum,classic_long_short,10,equal,,1.0,6.0,,,110.90%,2.96%,16.21%,0.183,-37.79%,55.70%,2.109,True,-0.165,5.88%,-0.154,-0.233,-0.065,4.94%,-0.100,-0.201,-0.119,5.47%,-0.145,-0.219,0.094,2.85%,0.103,-0.336,-0.170,4.63%,-0.200,0.010
voladj6_12-1 | classic_long_short | scaled cap25 | top10,voladj6_12-1,volatility_adjusted,12.0,1,vol_adjusted_momentum,classic_long_short,10,scaled,0.25,1.0,6.0,,,74.20%,2.19%,19.38%,0.113,-52.60%,59.28%,1.742,True,-0.208,6.13%,-0.162,-0.216,-0.100,5.15%,-0.130,-0.192,-0.159,5.73%,-0.163,-0.206,-0.003,3.19%,-0.003,-0.324,-0.147,4.01%,-0.149,-0.010
voladj6_12-1 | classic_long_short | scaled cap20 | top10,voladj6_12-1,volatility_adjusted,12.0,1,vol_adjusted_momentum,classic_long_short,10,scaled,0.2,1.0,6.0,,,79.42%,2.31%,19.24%,0.120,-51.59%,58.63%,1.794,True,-0.207,6.21%,-0.162,-0.214,-0.099,5.23%,-0.129,-0.190,-0.157,5.79%,-0.162,-0.204,0.006,3.21%,0.006,-0.322,-0.143,4.06%,-0.146,-0.007
voladj6_12-1 | classic_long_short | scaled cap15 | top10,voladj6_12-1,volatility_adjusted,12.0,1,vol_adjusted_momentum,classic_long_short,10,scaled,0.15,1.0,6.0,,,81.24%,2.35%,18.93%,0.124,-49.64%,57.33%,1.812,True,-0.210,6.22%,-0.167,-0.216,-0.098,5.19%,-0.130,-0.191,-0.155,5.75%,-0.162,-0.206,0.023,3.01%,0.022,-0.329,-0.143,3.99%,-0.149,-0.010
voladj6_12-1 | classic_long_short | equal | top20,voladj6_12-1,volatility_adjusted,12.0,1,vol_adjusted_momentum,classic_long_short,20,equal,,1.0,6.0,,,145.83%,3.58%,12.49%,0.286,-29.03%,58.31%,2.458,True,-0.120,5.49%,-0.145,-0.262,-0.076,5.11%,-0.152,-0.210,-0.099,5.33%,-0.158,-0.237,0.072,3.57%,0.100,-0.343,-0.139,4.93%,-0.205,0.027
voladj6_12-1 | classic_long_short | scaled cap25 | top20,voladj6_12-1,volatility_adjusted,12.0,1,vol_adjusted_momentum,classic_long_short,20,scaled,0.25,1.0,6.0,,,121.58%,3.16%,16.32%,0.194,-39.46%,57.65%,2.216,True,-0.176,6.20%,-0.163,-0.222,-0.084,5.36%,-0.129,-0.192,-0.135,5.85%,-0.164,-0.209,0.056,3.45%,0.061,-0.320,-0.156,4.89%,-0.184,0.022
voladj6_12-1 | classic_long_short | scaled cap20 | top20,voladj6_12-1,volatility_adjusted,12.0,1,vol_adjusted_momentum,classic_long_short,20,scaled,0.2,1.0,6.0,,,120.46%,3.14%,16.29%,0.193,-39.48%,57.65%,2.205,True,-0.177,6.18%,-0.164,-0.224,-0.085,5.34%,-0.131,-0.192,-0.135,5.83%,-0.164,-0.210,0.056,3.41%,0.062,-0.322,-0.157,4.83%,-0.185,0.019
voladj6_12-1 | classic_long_short | scaled cap15 | top20,voladj6_12-1,volatility_adjusted,12.0,1,vol_adjusted_momentum,classic_long_short,20,scaled,0.15,1.0,6.0,,,122.80%,3.18%,16.24%,0.196,-39.00%,57.65%,2.228,True,-0.178,6.23%,-0.166,-0.222,-0.086,5.39%,-0.133,-0.191,-0.135,5.87%,-0.166,-0.209,0.057,3.47%,0.063,-0.320,-0.157,4.84%,-0.186,0.020
voladj6_12-1 | classic_long_short | equal | top30,voladj6_12-1,volatility_adjusted,12.0,1,vol_adjusted_momentum,classic_long_short,30,equal,,1.0,6.0,,,95.09%,2.65%,10.62%,0.249,-28.63%,57.33%,1.951,True,-0.108,4.25%,-0.154,-0.335,-0.073,3.96%,-0.173,-0.254,-0.087,4.09%,-0.164,-0.294,0.069,2.53%,0.110,-0.416,-0.130,3.94%,-0.222,-0.012
voladj6_12-1 | classic_long_short | scaled cap25 | top30,voladj6_12-1,volatility_adjusted,12.0,1,vol_adjusted_momentum,classic_long_short,30,scaled,0.25,1.0,6.0,,,131.42%,3.33%,14.27%,0.234,-31.92%,58.63%,2.314,True,-0.152,5.81%,-0.161,-0.245,-0.084,5.20%,-0.148,-0.203,-0.119,5.54%,-0.166,-0.226,0.063,3.22%,0.078,-0.347,-0.148,4.70%,-0.196,0.016
voladj6_12-1 | classic_long_short | scaled cap20 | top30,voladj6_12-1,volatility_adjusted,12.0,1,vol_adjusted_momentum,classic_long_short,30,scaled,0.2,1.0,6.0,,,128.57%,3.28%,14.25%,0.230,-31.92%,58.63%,2.286,True,-0.153,5.77%,-0.162,-0.248,-0.084,5.16%,-0.149,-0.205,-0.119,5.49%,-0.167,-0.228,0.064,3.15%,0.079,-0.350,-0.149,4.64%,-0.198,0.014
voladj6_12-1 | classic_long_short | scaled cap15 | top30,voladj6_12-1,volatility_adjusted,12.0,1,vol_adjusted_momentum,classic_long_short,30,scaled,0.15,1.0,6.0,,,126.06%,3.24%,14.23%,0.228,-31.80%,58.63%,2.261,True,-0.154,5.73%,-0.163,-0.250,-0.085,5.12%,-0.150,-0.206,-0.120,5.45%,-0.167,-0.229,0.065,3.09%,0.080,-0.353,-0.150,4.58%,-0.199,0.011
voladj6_12-1 | directional_abs | equal | top10,voladj6_12-1,volatility_adjusted,12.0,1,vol_adjusted_momentum,directional_abs,10,equal,,1.0,6.0,,,1430.14%,11.25%,28.64%,0.393,-69.42%,58.63%,15.301,True,0.105,13.85%,0.055,0.161,0.214,12.63%,0.187,0.126,0.219,12.63%,0.152,0.143,0.281,8.46%,0.173,0.011,0.056,10.35%,0.038,0.209
voladj6_12-1 | directional_abs | scaled cap25 | top10,voladj6_12-1,volatility_adjusted,12.0,1,vol_adjusted_momentum,directional_abs,10,scaled,0.25,1.0,6.0,,,1506.18%,11.46%,29.44%,0.389,-72.00%,57.33%,16.062,True,0.140,13.93%,0.072,0.171,0.238,12.79%,0.203,0.138,0.253,12.70%,0.171,0.155,0.285,8.09%,0.172,0.000,0.091,10.05%,0.061,0.204
voladj6_12-1 | directional_abs | scaled cap20 | top10,voladj6_12-1,volatility_adjusted,12.0,1,vol_adjusted_momentum,directional_abs,10,scaled,0.2,1.0,6.0,,,1536.90%,11.55%,29.40%,0.393,-71.54%,57.65%,16.369,True,0.139,14.00%,0.071,0.173,0.237,12.86%,0.203,0.139,0.254,12.76%,0.171,0.157,0.286,8.17%,0.174,0.003,0.092,10.09%,0.061,0.205
voladj6_12-1 | directional_abs | scaled cap15 | top10,voladj6_12-1,volatility_adjusted,12.0,1,vol_adjusted_momentum,directional_abs,10,scaled,0.15,1.0,6.0,,,1654.87%,11.85%,29.22%,0.405,-70.68%,58.63%,17.549,True,0.135,14.26%,0.070,0.181,0.235,13.11%,0.202,0.146,0.250,13.02%,0.170,0.164,0.285,8.43%,0.174,0.011,0.087,10.35%,0.058,0.213
voladj6_12-1 | directional_abs | equal | top20,voladj6_12-1,volatility_adjusted,12.0,1,vol_adjusted_momentum,directional_abs,20,equal,,1.0,6.0,,,909.43%,9.46%,25.85%,0.366,-67.62%,59.28%,10.094,True,-0.047,12.97%,-0.028,0.089,0.102,11.43%,0.099,0.057,0.080,11.68%,0.062,0.071,0.275,7.26%,0.182,-0.033,-0.039,8.81%,-0.028,0.153
voladj6_12-1 | directional_abs | scaled cap25 | top20,voladj6_12-1,volatility_adjusted,12.0,1,vol_adjusted_momentum,directional_abs,20,scaled,0.25,1.0,6.0,,,1256.95%,10.73%,26.86%,0.399,-69.24%,58.31%,13.569,True,0.008,13.84%,0.005,0.134,0.144,12.40%,0.135,0.099,0.135,12.54%,0.100,0.115,0.282,7.52%,0.183,-0.021,0.007,9.21%,0.005,0.172
voladj6_12-1 | directional_abs | scaled cap20 | top20,voladj6_12-1,volatility_adjusted,12.0,1,vol_adjusted_momentum,directional_abs,20,scaled,0.2,1.0,6.0,,,1238.32%,10.67%,26.85%,0.397,-69.25%,58.31%,13.383,True,0.008,13.78%,0.004,0.132,0.144,12.35%,0.134,0.097,0.135,12.48%,0.100,0.114,0.283,7.46%,0.184,-0.022,0.006,9.16%,0.004,0.170
voladj6_12-1 | directional_abs | scaled cap15 | top20,voladj6_12-1,volatility_adjusted,12.0,1,vol_adjusted_momentum,directional_abs,20,scaled,0.15,1.0,6.0,,,1229.53%,10.64%,26.84%,0.397,-68.87%,57.98%,13.295,True,0.008,13.75%,0.004,0.131,0.143,12.32%,0.134,0.096,0.136,12.44%,0.101,0.113,0.285,7.43%,0.185,-0.023,0.006,9.14%,0.004,0.169
voladj6_12-1 | directional_abs | equal | top30,voladj6_12-1,volatility_adjusted,12.0,1,vol_adjusted_momentum,directional_abs,30,equal,,1.0,6.0,,,455.83%,6.93%,24.30%,0.285,-67.60%,60.26%,5.558,True,-0.130,11.02%,-0.080,-0.002,0.051,9.20%,0.053,-0.023,0.007,9.68%,0.005,-0.016,0.226,5.95%,0.158,-0.101,-0.063,7.05%,-0.049,0.099
