strategy_name,signal_name,signal_type,volatility_lookback_months,strategy_type,weighting,top_n,momentum_window,lookback_months,skip_months,max_weight,gross_exposure,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,win_rate,best_month,worst_month,final_value,min_equity_value,valid_for_chart
long_only scaled cap15 top30 raw mom6-1,raw,momentum,,long_only,scaled,30,6-1,6,1,0.15,1.0,73790.48%,28.82%,32.22%,0.894,-53.16%,60.38%,32.65%,-26.75%,738.90,0.93,True
long_only scaled cap10 top30 raw mom6-1,raw,momentum,,long_only,scaled,30,6-1,6,1,0.1,1.0,57311.26%,27.58%,31.12%,0.886,-52.28%,61.02%,30.06%,-25.05%,574.11,0.93,True
long_only equal top40 raw mom6-1,raw,momentum,,long_only,equal,40,6-1,6,1,,1.0,11649.47%,20.05%,25.43%,0.788,-49.69%,61.98%,23.58%,-28.46%,117.49,0.97,True
long_only scaled cap30 top40 raw mom6-1,raw,momentum,,long_only,scaled,40,6-1,6,1,0.3,1.0,55393.80%,27.41%,31.06%,0.883,-53.11%,60.38%,35.92%,-26.75%,554.94,0.94,True
long_only scaled cap25 top40 raw mom6-1,raw,momentum,,long_only,scaled,40,6-1,6,1,0.25,1.0,54265.74%,27.31%,31.02%,0.880,-53.11%,60.38%,35.40%,-26.75%,543.66,0.94,True
long_only scaled cap20 top40 raw mom6-1,raw,momentum,,long_only,scaled,40,6-1,6,1,0.2,1.0,53573.34%,27.25%,30.91%,0.882,-53.11%,60.38%,32.56%,-26.75%,536.73,0.94,True
long_only scaled cap15 top40 raw mom6-1,raw,momentum,,long_only,scaled,40,6-1,6,1,0.15,1.0,50848.90%,27.00%,30.71%,0.879,-53.11%,60.70%,31.47%,-26.75%,509.49,0.94,True
long_only scaled cap10 top40 raw mom6-1,raw,momentum,,long_only,scaled,40,6-1,6,1,0.1,1.0,43481.70%,26.24%,30.05%,0.873,-52.26%,60.06%,28.52%,-26.40%,435.82,0.94,True
classic_long_short equal top10 raw mom6-1,raw,momentum,,classic_long_short,equal,10,6-1,6,1,,1.0,-2571.29%,,307.10%,,-1078.79%,57.51%,18.28%,-1564.77%,-24.71,-29.75,False
classic_long_short scaled cap30 top10 raw mom6-1,raw,momentum,,classic_long_short,scaled,10,6-1,6,1,0.3,1.0,-7449.29%,,1582.49%,,-2619.15%,58.15%,25.47%,-8080.24%,-73.49,-100.76,False
classic_long_short scaled cap25 top10 raw mom6-1,raw,momentum,,classic_long_short,scaled,10,6-1,6,1,0.25,1.0,-6888.85%,,1518.03%,,-2398.67%,58.47%,24.73%,-7750.99%,-67.89,-93.08,False
classic_long_short scaled cap20 top10 raw mom6-1,raw,momentum,,classic_long_short,scaled,10,6-1,6,1,0.2,1.0,-5393.40%,,1215.14%,,-1887.49%,57.83%,23.98%,-6203.81%,-52.93,-72.09,False
classic_long_short scaled cap15 top10 raw mom6-1,raw,momentum,,classic_long_short,scaled,10,6-1,6,1,0.15,1.0,-4911.82%,,912.30%,,-1700.90%,57.51%,23.24%,-4656.64%,-48.12,-64.00,False
classic_long_short scaled cap10 top10 raw mom6-1,raw,momentum,,classic_long_short,scaled,10,6-1,6,1,0.1,1.0,-4903.65%,,609.55%,,-1529.38%,59.11%,21.34%,-3109.87%,-48.04,-60.29,False
classic_long_short equal top20 raw mom6-1,raw,momentum,,classic_long_short,equal,20,6-1,6,1,,1.0,-1898.85%,,155.42%,,-805.36%,56.87%,12.33%,-790.11%,-17.99,-19.51,False
classic_long_short scaled cap30 top20 raw mom6-1,raw,momentum,,classic_long_short,scaled,20,6-1,6,1,0.3,1.0,-9379.59%,,792.82%,,-3571.62%,57.19%,25.08%,-4047.08%,-92.80,-115.83,False
classic_long_short scaled cap25 top20 raw mom6-1,raw,momentum,,classic_long_short,scaled,20,6-1,6,1,0.25,1.0,-9136.96%,,792.81%,,-3504.07%,57.19%,24.11%,-4047.08%,-90.37,-112.80,False
classic_long_short scaled cap20 top20 raw mom6-1,raw,momentum,,classic_long_short,scaled,20,6-1,6,1,0.2,1.0,-9009.96%,,792.81%,,-3425.84%,57.51%,23.15%,-4047.08%,-89.10,-111.22,False
classic_long_short scaled cap15 top20 raw mom6-1,raw,momentum,,classic_long_short,scaled,20,6-1,6,1,0.15,1.0,-9105.65%,,792.81%,,-3319.67%,58.47%,22.18%,-4047.08%,-90.06,-112.41,False
classic_long_short scaled cap10 top20 raw mom6-1,raw,momentum,,classic_long_short,scaled,20,6-1,6,1,0.1,1.0,-6453.21%,,609.37%,,-2349.13%,58.47%,20.37%,-3109.87%,-63.53,-78.56,False
classic_long_short equal top25 raw mom6-1,raw,momentum,,classic_long_short,equal,25,6-1,6,1,,1.0,-1248.27%,,125.11%,,-648.78%,58.47%,10.90%,-635.59%,-11.48,-12.85,False
classic_long_short scaled cap30 top25 raw mom6-1,raw,momentum,,classic_long_short,scaled,25,6-1,6,1,0.3,1.0,-8378.57%,,658.68%,,-3396.99%,57.83%,24.20%,-3362.05%,-82.79,-100.18,False
classic_long_short scaled cap25 top25 raw mom6-1,raw,momentum,,classic_long_short,scaled,25,6-1,6,1,0.25,1.0,-8214.54%,,658.67%,,-3331.66%,57.83%,23.19%,-3362.05%,-81.15,-98.20,False
classic_long_short scaled cap20 top25 raw mom6-1,raw,momentum,,classic_long_short,scaled,25,6-1,6,1,0.2,1.0,-8004.69%,,658.67%,,-3266.61%,57.83%,22.18%,-3362.05%,-79.05,-95.66,False
classic_long_short scaled cap15 top25 raw mom6-1,raw,momentum,,classic_long_short,scaled,25,6-1,6,1,0.15,1.0,-7931.36%,,658.67%,,-3172.34%,58.47%,21.16%,-3362.05%,-78.31,-94.77,False
classic_long_short scaled cap10 top25 raw mom6-1,raw,momentum,,classic_long_short,scaled,25,6-1,6,1,0.1,1.0,-7007.23%,,609.33%,,-2761.43%,59.11%,19.80%,-3110.01%,-69.07,-83.39,False
classic_long_short equal top30 raw mom6-1,raw,momentum,,classic_long_short,equal,30,6-1,6,1,,1.0,-934.85%,,104.81%,,-550.11%,59.42%,9.99%,-532.09%,-8.35,-9.37,False
classic_long_short scaled cap30 top30 raw mom6-1,raw,momentum,,classic_long_short,scaled,30,6-1,6,1,0.3,1.0,-5567.49%,,424.24%,,-2219.93%,59.11%,23.14%,-2164.28%,-54.67,-64.61,False
classic_long_short scaled cap25 top30 raw mom6-1,raw,momentum,,classic_long_short,scaled,30,6-1,6,1,0.25,1.0,-5454.83%,,424.23%,,-2176.24%,59.11%,22.03%,-2164.28%,-53.55,-63.28,False
classic_long_short scaled cap20 top30 raw mom6-1,raw,momentum,,classic_long_short,scaled,30,6-1,6,1,0.2,1.0,-5339.75%,,424.23%,,-2132.79%,59.11%,20.92%,-2164.28%,-52.40,-61.92,False
classic_long_short scaled cap15 top30 raw mom6-1,raw,momentum,,classic_long_short,scaled,30,6-1,6,1,0.15,1.0,-5215.16%,,424.23%,,-2089.13%,59.11%,19.82%,-2164.28%,-51.15,-60.45,False
classic_long_short scaled cap10 top30 raw mom6-1,raw,momentum,,classic_long_short,scaled,30,6-1,6,1,0.1,1.0,-5064.38%,,424.22%,,-1998.58%,59.42%,18.71%,-2164.28%,-49.64,-58.64,False
classic_long_short equal top40 raw mom6-1,raw,momentum,,classic_long_short,equal,40,6-1,6,1,,1.0,-654.87%,,78.94%,,-420.00%,57.19%,9.05%,-400.28%,-5.55,-6.17,False
classic_long_short scaled cap30 top40 raw mom6-1,raw,momentum,,classic_long_short,scaled,40,6-1,6,1,0.3,1.0,-4246.56%,,324.12%,,-1862.33%,59.11%,21.45%,-1652.92%,-41.47,-48.33,False
classic_long_short scaled cap25 top40 raw mom6-1,raw,momentum,,classic_long_short,scaled,40,6-1,6,1,0.25,1.0,-4155.60%,,324.11%,,-1823.67%,59.11%,20.18%,-1652.92%,-40.56,-47.27,False
classic_long_short scaled cap20 top40 raw mom6-1,raw,momentum,,classic_long_short,scaled,40,6-1,6,1,0.2,1.0,-4065.25%,,324.11%,,-1785.27%,59.11%,18.92%,-1652.92%,-39.65,-46.21,False
classic_long_short scaled cap15 top40 raw mom6-1,raw,momentum,,classic_long_short,scaled,40,6-1,6,1,0.15,1.0,-3939.58%,,324.10%,,-1747.14%,59.11%,17.66%,-1652.92%,-38.40,-44.75,False
classic_long_short scaled cap10 top40 raw mom6-1,raw,momentum,,classic_long_short,scaled,40,6-1,6,1,0.1,1.0,-3868.09%,,324.09%,,-1700.76%,59.11%,16.40%,-1652.92%,-37.68,-43.91,False
directional_abs equal top10 raw mom6-1,raw,momentum,,directional_abs,equal,10,6-1,6,1,,1.0,10184.03%,19.44%,606.90%,0.032,-113.36%,59.11%,36.34%,-3091.27%,102.84,-2.85,False
directional_abs scaled cap30 top10 raw mom6-1,raw,momentum,,directional_abs,scaled,10,6-1,6,1,0.3,1.0,34377.17%,25.11%,746.40%,0.034,-115.23%,58.15%,38.80%,-3804.06%,344.77,-5.94,False
directional_abs scaled cap25 top10 raw mom6-1,raw,momentum,,directional_abs,scaled,10,6-1,6,1,0.25,1.0,33883.85%,25.04%,746.39%,0.034,-115.23%,58.15%,36.00%,-3804.06%,339.84,-6.02,False
directional_abs scaled cap20 top10 raw mom6-1,raw,momentum,,directional_abs,scaled,10,6-1,6,1,0.2,1.0,31859.96%,24.75%,746.37%,0.033,-115.21%,57.83%,34.95%,-3804.06%,319.60,-5.92,False
directional_abs scaled cap15 top10 raw mom6-1,raw,momentum,,directional_abs,scaled,10,6-1,6,1,0.15,1.0,25944.93%,23.77%,746.34%,0.032,-115.48%,58.47%,34.95%,-3804.06%,260.45,-5.26,False
directional_abs scaled cap10 top10 raw mom6-1,raw,momentum,,directional_abs,scaled,10,6-1,6,1,0.1,1.0,10184.03%,19.44%,606.90%,0.032,-113.36%,59.11%,36.34%,-3091.27%,102.84,-2.85,False
directional_abs equal top20 raw mom6-1,raw,momentum,,directional_abs,equal,20,6-1,6,1,,1.0,-3806.04%,,306.08%,,-454.22%,57.19%,42.34%,-1552.42%,-37.06,-44.87,False
directional_abs scaled cap30 top20 raw mom6-1,raw,momentum,,directional_abs,scaled,20,6-1,6,1,0.3,1.0,-5466.86%,,456.72%,,-389.29%,57.19%,40.41%,-2323.71%,-53.67,-67.68,False
directional_abs scaled cap25 top20 raw mom6-1,raw,momentum,,directional_abs,scaled,20,6-1,6,1,0.25,1.0,-5318.79%,,456.71%,,-383.37%,57.19%,40.41%,-2323.71%,-52.19,-65.81,False
directional_abs scaled cap20 top20 raw mom6-1,raw,momentum,,directional_abs,scaled,20,6-1,6,1,0.2,1.0,-5212.26%,,456.70%,,-377.44%,56.87%,40.41%,-2323.71%,-51.12,-64.46,False
directional_abs scaled cap15 top20 raw mom6-1,raw,momentum,,directional_abs,scaled,20,6-1,6,1,0.15,1.0,-4927.33%,,456.69%,,-369.03%,56.87%,40.41%,-2323.71%,-48.27,-60.87,False
directional_abs scaled cap10 top20 raw mom6-1,raw,momentum,,directional_abs,scaled,20,6-1,6,1,0.1,1.0,-4175.85%,,456.65%,,-353.87%,56.87%,40.41%,-2323.71%,-40.76,-51.27,False
directional_abs equal top25 raw mom6-1,raw,momentum,,directional_abs,equal,25,6-1,6,1,,1.0,-4095.66%,,246.28%,,-617.96%,57.19%,38.54%,-1246.71%,-39.96,-52.08,False
directional_abs scaled cap30 top25 raw mom6-1,raw,momentum,,directional_abs,scaled,25,6-1,6,1,0.3,1.0,-10553.89%,,391.37%,,-769.85%,55.59%,37.92%,-1989.90%,-104.54,-135.89,False
directional_abs scaled cap25 top25 raw mom6-1,raw,momentum,,directional_abs,scaled,25,6-1,6,1,0.25,1.0,-10266.32%,,391.36%,,-755.78%,55.27%,37.92%,-1989.90%,-101.66,-132.16,False
directional_abs scaled cap20 top25 raw mom6-1,raw,momentum,,directional_abs,scaled,25,6-1,6,1,0.2,1.0,-10032.01%,,391.36%,,-741.81%,55.27%,37.92%,-1989.90%,-99.32,-129.11,False
directional_abs scaled cap15 top25 raw mom6-1,raw,momentum,,directional_abs,scaled,25,6-1,6,1,0.15,1.0,-9544.15%,,391.34%,,-724.75%,55.59%,37.92%,-1989.90%,-94.44,-122.77,False
directional_abs scaled cap10 top25 raw mom6-1,raw,momentum,,directional_abs,scaled,25,6-1,6,1,0.1,1.0,-8399.73%,,391.31%,,-693.74%,55.59%,37.92%,-1989.90%,-83.00,-107.78,False
directional_abs equal top30 raw mom6-1,raw,momentum,,directional_abs,equal,30,6-1,6,1,,1.0,-3702.76%,,206.79%,,-643.19%,56.87%,34.41%,-1044.82%,-36.03,-45.05,False
directional_abs scaled cap30 top30 raw mom6-1,raw,momentum,,directional_abs,scaled,30,6-1,6,1,0.3,1.0,-11686.52%,,346.12%,,-931.52%,55.91%,35.04%,-1758.74%,-115.87,-148.75,False
directional_abs scaled cap25 top30 raw mom6-1,raw,momentum,,directional_abs,scaled,30,6-1,6,1,0.25,1.0,-11427.11%,,346.12%,,-913.54%,55.91%,35.04%,-1758.74%,-113.27,-145.42,False
directional_abs scaled cap20 top30 raw mom6-1,raw,momentum,,directional_abs,scaled,30,6-1,6,1,0.2,1.0,-11104.10%,,346.11%,,-895.68%,55.91%,35.04%,-1758.74%,-110.04,-141.27,False
directional_abs scaled cap15 top30 raw mom6-1,raw,momentum,,directional_abs,scaled,30,6-1,6,1,0.15,1.0,-10680.74%,,346.10%,,-876.94%,56.23%,35.04%,-1758.74%,-105.81,-135.84,False
directional_abs scaled cap10 top30 raw mom6-1,raw,momentum,,directional_abs,scaled,30,6-1,6,1,0.1,1.0,-9636.19%,,346.07%,,-847.53%,55.59%,35.04%,-1758.74%,-95.36,-122.42,False
directional_abs equal top40 raw mom6-1,raw,momentum,,directional_abs,equal,40,6-1,6,1,,1.0,-3249.31%,,157.30%,,-590.65%,57.51%,31.62%,-791.39%,-31.49,-38.05,False
directional_abs scaled cap30 top40 raw mom6-1,raw,momentum,,directional_abs,scaled,40,6-1,6,1,0.3,1.0,-12497.86%,,290.05%,,-1070.82%,58.15%,33.25%,-1472.11%,-123.98,-155.00,False
directional_abs scaled cap25 top40 raw mom6-1,raw,momentum,,directional_abs,scaled,40,6-1,6,1,0.25,1.0,-12218.87%,,290.04%,,-1048.98%,58.15%,33.25%,-1472.11%,-121.19,-151.51,False
directional_abs scaled cap20 top40 raw mom6-1,raw,momentum,,directional_abs,scaled,40,6-1,6,1,0.2,1.0,-11866.23%,,290.03%,,-1027.31%,58.15%,33.25%,-1472.11%,-117.66,-147.11,False
directional_abs scaled cap15 top40 raw mom6-1,raw,momentum,,directional_abs,scaled,40,6-1,6,1,0.15,1.0,-11522.20%,,290.02%,,-1005.84%,58.15%,33.25%,-1472.11%,-114.22,-142.80,False
directional_abs scaled cap10 top40 raw mom6-1,raw,momentum,,directional_abs,scaled,40,6-1,6,1,0.1,1.0,-10582.07%,,290.00%,,-981.02%,57.51%,33.25%,-1472.11%,-104.82,-131.05,False
long_only equal top10 voladj3 mom6-1,voladj3,volatility_adjusted,3.0,long_only,equal,10,6-1,6,1,,1.0,12945.57%,20.53%,27.04%,0.759,-55.01%,63.26%,31.66%,-24.93%,130.46,0.94,True
long_only scaled cap30 top10 voladj3 mom6-1,voladj3,volatility_adjusted,3.0,long_only,scaled,10,6-1,6,1,0.3,1.0,13150.47%,20.60%,27.79%,0.741,-50.91%,61.34%,28.89%,-21.68%,132.50,0.88,True
long_only scaled cap25 top10 voladj3 mom6-1,voladj3,volatility_adjusted,3.0,long_only,scaled,10,6-1,6,1,0.25,1.0,12052.92%,20.21%,27.57%,0.733,-52.58%,61.34%,29.18%,-23.26%,121.53,0.92,True
long_only scaled cap20 top10 voladj3 mom6-1,voladj3,volatility_adjusted,3.0,long_only,scaled,10,6-1,6,1,0.2,1.0,12911.94%,20.52%,27.39%,0.749,-54.40%,61.02%,29.76%,-25.31%,130.12,0.97,True
long_only scaled cap15 top10 voladj3 mom6-1,voladj3,volatility_adjusted,3.0,long_only,scaled,10,6-1,6,1,0.15,1.0,14975.59%,21.20%,27.24%,0.778,-55.78%,62.62%,28.55%,-27.19%,150.76,0.96,True
long_only scaled cap10 top10 voladj3 mom6-1,voladj3,volatility_adjusted,3.0,long_only,scaled,10,6-1,6,1,0.1,1.0,12945.57%,20.53%,27.04%,0.759,-55.01%,63.26%,31.66%,-24.93%,130.46,0.94,True
long_only equal top20 voladj3 mom6-1,voladj3,volatility_adjusted,3.0,long_only,equal,20,6-1,6,1,,1.0,19920.23%,22.53%,26.47%,0.851,-50.78%,62.30%,42.01%,-24.16%,200.20,0.95,True
long_only scaled cap30 top20 voladj3 mom6-1,voladj3,volatility_adjusted,3.0,long_only,scaled,20,6-1,6,1,0.3,1.0,18966.23%,22.30%,27.09%,0.823,-49.49%,61.66%,33.73%,-20.90%,190.66,0.96,True
long_only scaled cap25 top20 voladj3 mom6-1,voladj3,volatility_adjusted,3.0,long_only,scaled,20,6-1,6,1,0.25,1.0,17155.08%,21.83%,26.91%,0.811,-51.07%,62.62%,33.90%,-21.90%,172.55,0.96,True
long_only scaled cap20 top20 voladj3 mom6-1,voladj3,volatility_adjusted,3.0,long_only,scaled,20,6-1,6,1,0.2,1.0,15379.37%,21.33%,26.74%,0.798,-52.62%,62.30%,34.07%,-23.39%,154.79,0.96,True
long_only scaled cap15 top20 voladj3 mom6-1,voladj3,volatility_adjusted,3.0,long_only,scaled,20,6-1,6,1,0.15,1.0,14714.87%,21.12%,26.62%,0.793,-54.42%,61.98%,34.28%,-25.31%,148.15,0.95,True
long_only scaled cap10 top20 voladj3 mom6-1,voladj3,volatility_adjusted,3.0,long_only,scaled,20,6-1,6,1,0.1,1.0,17302.26%,21.87%,26.54%,0.824,-54.12%,61.98%,35.85%,-24.59%,174.02,0.95,True
long_only equal top25 voladj3 mom6-1,voladj3,volatility_adjusted,3.0,long_only,equal,25,6-1,6,1,,1.0,18659.95%,22.22%,26.12%,0.851,-51.33%,61.02%,41.02%,-25.63%,187.60,0.95,True
long_only scaled cap30 top25 voladj3 mom6-1,voladj3,volatility_adjusted,3.0,long_only,scaled,25,6-1,6,1,0.3,1.0,20607.06%,22.69%,26.78%,0.847,-48.56%,61.98%,35.09%,-21.60%,207.07,0.96,True
long_only scaled cap25 top25 voladj3 mom6-1,voladj3,volatility_adjusted,3.0,long_only,scaled,25,6-1,6,1,0.25,1.0,18898.02%,22.28%,26.66%,0.836,-50.08%,62.30%,35.36%,-21.60%,189.98,0.96,True
long_only scaled cap20 top25 voladj3 mom6-1,voladj3,volatility_adjusted,3.0,long_only,scaled,25,6-1,6,1,0.2,1.0,17268.76%,21.86%,26.50%,0.825,-51.58%,61.66%,35.62%,-22.03%,173.69,0.96,True
long_only scaled cap15 top25 voladj3 mom6-1,voladj3,volatility_adjusted,3.0,long_only,scaled,25,6-1,6,1,0.15,1.0,15872.75%,21.47%,26.37%,0.814,-53.08%,61.66%,35.89%,-23.54%,159.73,0.95,True
long_only scaled cap10 top25 voladj3 mom6-1,voladj3,volatility_adjusted,3.0,long_only,scaled,25,6-1,6,1,0.1,1.0,17915.42%,22.03%,26.31%,0.838,-53.72%,61.66%,36.96%,-23.99%,180.15,0.95,True
long_only equal top30 voladj3 mom6-1,voladj3,volatility_adjusted,3.0,long_only,equal,30,6-1,6,1,,1.0,15566.58%,21.38%,25.94%,0.824,-49.73%,61.02%,40.60%,-28.18%,156.67,0.96,True
long_only scaled cap30 top30 voladj3 mom6-1,voladj3,volatility_adjusted,3.0,long_only,scaled,30,6-1,6,1,0.3,1.0,21079.44%,22.79%,26.56%,0.858,-48.12%,61.66%,35.63%,-22.87%,211.79,0.96,True
long_only scaled cap25 top30 voladj3 mom6-1,voladj3,volatility_adjusted,3.0,long_only,scaled,30,6-1,6,1,0.25,1.0,19387.37%,22.40%,26.49%,0.846,-49.61%,61.98%,35.83%,-22.87%,194.87,0.96,True
long_only scaled cap20 top30 voladj3 mom6-1,voladj3,volatility_adjusted,3.0,long_only,scaled,30,6-1,6,1,0.2,1.0,17640.58%,21.96%,26.37%,0.833,-51.08%,61.66%,36.12%,-22.87%,177.41,0.96,True
long_only scaled cap15 top30 voladj3 mom6-1,voladj3,volatility_adjusted,3.0,long_only,scaled,30,6-1,6,1,0.15,1.0,16046.48%,21.52%,26.22%,0.821,-52.51%,61.34%,36.42%,-22.87%,161.46,0.96,True
long_only scaled cap10 top30 voladj3 mom6-1,voladj3,volatility_adjusted,3.0,long_only,scaled,30,6-1,6,1,0.1,1.0,16660.37%,21.70%,26.18%,0.829,-53.56%,62.30%,37.23%,-23.64%,167.60,0.95,True
long_only equal top40 voladj3 mom6-1,voladj3,volatility_adjusted,3.0,long_only,equal,40,6-1,6,1,,1.0,13923.14%,20.87%,25.98%,0.803,-48.12%,61.98%,45.39%,-28.54%,140.23,0.97,True
long_only scaled cap30 top40 voladj3 mom6-1,voladj3,volatility_adjusted,3.0,long_only,scaled,40,6-1,6,1,0.3,1.0,20184.07%,22.59%,26.06%,0.867,-46.74%,62.62%,36.23%,-24.05%,202.84,0.96,True
long_only scaled cap25 top40 voladj3 mom6-1,voladj3,volatility_adjusted,3.0,long_only,scaled,40,6-1,6,1,0.25,1.0,19257.17%,22.37%,26.01%,0.860,-48.18%,62.62%,36.23%,-24.05%,193.57,0.96,True
long_only scaled cap20 top40 voladj3 mom6-1,voladj3,volatility_adjusted,3.0,long_only,scaled,40,6-1,6,1,0.2,1.0,17637.76%,21.96%,25.95%,0.846,-49.58%,62.62%,36.33%,-24.05%,177.38,0.96,True
long_only scaled cap15 top40 voladj3 mom6-1,voladj3,volatility_adjusted,3.0,long_only,scaled,40,6-1,6,1,0.15,1.0,16065.25%,21.53%,25.87%,0.832,-50.97%,62.30%,36.64%,-24.05%,161.65,0.96,True
long_only scaled cap10 top40 voladj3 mom6-1,voladj3,volatility_adjusted,3.0,long_only,scaled,40,6-1,6,1,0.1,1.0,14849.55%,21.16%,25.79%,0.821,-52.21%,62.94%,36.95%,-24.05%,149.50,0.95,True
classic_long_short equal top10 voladj3 mom6-1,voladj3,volatility_adjusted,3.0,classic_long_short,equal,10,6-1,6,1,,1.0,112.09%,2.92%,14.07%,0.208,-32.69%,54.31%,13.06%,-19.34%,2.12,0.89,True
classic_long_short scaled cap30 top10 voladj3 mom6-1,voladj3,volatility_adjusted,3.0,classic_long_short,scaled,10,6-1,6,1,0.3,1.0,122.67%,3.12%,16.45%,0.189,-43.01%,57.83%,11.70%,-20.14%,2.23,0.62,True
classic_long_short scaled cap25 top10 voladj3 mom6-1,voladj3,volatility_adjusted,3.0,classic_long_short,scaled,10,6-1,6,1,0.25,1.0,134.36%,3.32%,16.15%,0.206,-41.57%,57.51%,11.67%,-20.11%,2.34,0.63,True
classic_long_short scaled cap20 top10 voladj3 mom6-1,voladj3,volatility_adjusted,3.0,classic_long_short,scaled,10,6-1,6,1,0.2,1.0,135.69%,3.34%,15.71%,0.213,-38.25%,57.51%,11.67%,-20.09%,2.36,0.66,True
classic_long_short scaled cap15 top10 voladj3 mom6-1,voladj3,volatility_adjusted,3.0,classic_long_short,scaled,10,6-1,6,1,0.15,1.0,125.87%,3.17%,15.14%,0.210,-33.85%,57.19%,11.67%,-19.66%,2.26,0.72,True
classic_long_short scaled cap10 top10 voladj3 mom6-1,voladj3,volatility_adjusted,3.0,classic_long_short,scaled,10,6-1,6,1,0.1,1.0,114.81%,2.97%,14.61%,0.204,-29.07%,56.23%,11.75%,-18.78%,2.15,0.77,True
classic_long_short equal top20 voladj3 mom6-1,voladj3,volatility_adjusted,3.0,classic_long_short,equal,20,6-1,6,1,,1.0,-2320.37%,,154.89%,,-992.45%,57.83%,12.39%,-788.64%,-22.20,-24.96,False
classic_long_short scaled cap30 top20 voladj3 mom6-1,voladj3,volatility_adjusted,3.0,classic_long_short,scaled,20,6-1,6,1,0.3,1.0,-265.68%,,32.58%,,-183.46%,56.23%,12.08%,-149.88%,-1.66,-1.85,False
classic_long_short scaled cap25 top20 voladj3 mom6-1,voladj3,volatility_adjusted,3.0,classic_long_short,scaled,20,6-1,6,1,0.25,1.0,-266.70%,,32.52%,,-184.23%,56.23%,12.08%,-149.88%,-1.67,-1.87,False
classic_long_short scaled cap20 top20 voladj3 mom6-1,voladj3,volatility_adjusted,3.0,classic_long_short,scaled,20,6-1,6,1,0.2,1.0,-266.26%,,32.45%,,-183.82%,55.91%,11.99%,-149.88%,-1.66,-1.86,False
classic_long_short scaled cap15 top20 voladj3 mom6-1,voladj3,volatility_adjusted,3.0,classic_long_short,scaled,20,6-1,6,1,0.15,1.0,-260.39%,,32.38%,,-182.98%,56.55%,10.84%,-150.04%,-1.60,-1.79,False
classic_long_short scaled cap10 top20 voladj3 mom6-1,voladj3,volatility_adjusted,3.0,classic_long_short,scaled,20,6-1,6,1,0.1,1.0,-270.03%,,33.83%,,-192.87%,55.59%,10.59%,-158.70%,-1.70,-1.89,False
classic_long_short equal top25 voladj3 mom6-1,voladj3,volatility_adjusted,3.0,classic_long_short,equal,25,6-1,6,1,,1.0,-1747.14%,,124.70%,,-775.04%,57.83%,11.61%,-634.32%,-16.47,-18.03,False
classic_long_short scaled cap30 top25 voladj3 mom6-1,voladj3,volatility_adjusted,3.0,classic_long_short,scaled,25,6-1,6,1,0.3,1.0,-690.44%,,55.19%,,-380.01%,55.59%,12.69%,-273.25%,-5.90,-6.46,False
classic_long_short scaled cap25 top25 voladj3 mom6-1,voladj3,volatility_adjusted,3.0,classic_long_short,scaled,25,6-1,6,1,0.25,1.0,-700.68%,,55.17%,,-381.76%,55.59%,12.69%,-273.25%,-6.01,-6.58,False
classic_long_short scaled cap20 top25 voladj3 mom6-1,voladj3,volatility_adjusted,3.0,classic_long_short,scaled,25,6-1,6,1,0.2,1.0,-698.73%,,55.14%,,-381.80%,55.91%,12.69%,-273.25%,-5.99,-6.55,False
classic_long_short scaled cap15 top25 voladj3 mom6-1,voladj3,volatility_adjusted,3.0,classic_long_short,scaled,25,6-1,6,1,0.15,1.0,-681.71%,,55.10%,,-379.23%,57.19%,11.55%,-273.26%,-5.82,-6.35,False
classic_long_short scaled cap10 top25 voladj3 mom6-1,voladj3,volatility_adjusted,3.0,classic_long_short,scaled,25,6-1,6,1,0.1,1.0,-646.90%,,55.30%,,-372.47%,56.87%,10.62%,-274.62%,-5.47,-5.98,False
classic_long_short equal top30 voladj3 mom6-1,voladj3,volatility_adjusted,3.0,classic_long_short,equal,30,6-1,6,1,,1.0,-1286.90%,,104.34%,,-632.72%,56.55%,10.20%,-530.36%,-11.87,-13.07,False
classic_long_short scaled cap30 top30 voladj3 mom6-1,voladj3,volatility_adjusted,3.0,classic_long_short,scaled,30,6-1,6,1,0.3,1.0,-987.84%,,71.16%,,-504.90%,56.23%,12.28%,-357.28%,-8.88,-9.64,False
classic_long_short scaled cap25 top30 voladj3 mom6-1,voladj3,volatility_adjusted,3.0,classic_long_short,scaled,30,6-1,6,1,0.25,1.0,-1004.00%,,71.15%,,-505.34%,56.23%,12.28%,-357.28%,-9.04,-9.82,False
classic_long_short scaled cap20 top30 voladj3 mom6-1,voladj3,volatility_adjusted,3.0,classic_long_short,scaled,30,6-1,6,1,0.2,1.0,-1008.65%,,71.13%,,-507.23%,56.55%,12.28%,-357.28%,-9.09,-9.87,False
classic_long_short scaled cap15 top30 voladj3 mom6-1,voladj3,volatility_adjusted,3.0,classic_long_short,scaled,30,6-1,6,1,0.15,1.0,-991.15%,,71.10%,,-505.39%,56.87%,11.83%,-357.28%,-8.91,-9.67,False
classic_long_short scaled cap10 top30 voladj3 mom6-1,voladj3,volatility_adjusted,3.0,classic_long_short,scaled,30,6-1,6,1,0.1,1.0,-928.67%,,71.11%,,-494.76%,56.23%,10.82%,-357.47%,-8.29,-9.00,False
