strategy_name,name,signal_type,lookback_months,skip_months,signal_family,strategy_type,top_n,weighting,max_weight,gross_exposure,volatility_lookback_months,fast_months,slow_months,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,win_rate,final_value,valid_for_chart,beta_SPY,alpha_SPY,corr_SPY,info_ratio_SPY,beta_XLE,alpha_XLE,corr_XLE,info_ratio_XLE,beta_XLB,alpha_XLB,corr_XLB,info_ratio_XLB,beta_GLD,alpha_GLD,corr_GLD,info_ratio_GLD,beta_DBC,alpha_DBC,corr_DBC,info_ratio_DBC
raw_3-1 | long_only | equal | top10,raw_3-1,momentum,3.0,1,raw_momentum,long_only,10,equal,,1.0,,,,186.04472760089072,0.2197656818007283,0.33465553112392366,0.6566922144171842,-0.4733126420183421,0.5854430379746836,187.04472760089072,True,0.9641133339597506,0.16666161899031529,0.4348236329513004,0.5421449295619439,0.8126547316698336,0.16598718154377762,0.6084796633066627,0.5401918055561361,0.9806266743386437,0.15686952940673082,0.5874930441573756,0.5721052500426622,0.9037379709111935,0.14543641184899112,0.45874597437698583,0.4466358268417346,0.9283295073423028,0.1990770379647097,0.5120468975115838,0.6748612719315722
raw_3-1 | long_only | scaled cap25 | top10,raw_3-1,momentum,3.0,1,raw_momentum,long_only,10,scaled,0.25,1.0,,,,405.5585355888437,0.2562631576121346,0.3981118532707185,0.6436963770527929,-0.5044967541435541,0.569620253164557,406.5585355888437,True,0.9809631661468742,0.2161847515301288,0.37190382960067797,0.5802983466411836,0.7946951188294227,0.21898405057179704,0.5001882021464314,0.564438776820499,1.0216693233404008,0.2038524454031579,0.5145200213312511,0.6033979624600747,1.0756489246219505,0.14716468392189896,0.47617477995611623,0.4558326411126109,0.9283608890631877,0.2199569261782023,0.4435315273239045,0.6199777865630559
raw_3-1 | long_only | scaled cap20 | top10,raw_3-1,momentum,3.0,1,raw_momentum,long_only,10,scaled,0.2,1.0,,,,345.2208133951745,0.2486224325415296,0.3863090782133228,0.643584234912125,-0.496827509656632,0.5791139240506329,346.2208133951745,True,0.9938271205849503,0.20470682086300734,0.38829248757517465,0.5734489497513023,0.8027174127132508,0.20780281651551202,0.5206738619757978,0.5589927099173002,1.029991305656958,0.19271583990322974,0.5345590401755111,0.5992830109797449,1.051167917948023,0.1484761216897006,0.4757975627818003,0.4617912082463268,0.9292429860779915,0.2199869283906584,0.4544452241600649,0.6387060929221595
raw_3-1 | long_only | scaled cap15 | top10,raw_3-1,momentum,3.0,1,raw_momentum,long_only,10,scaled,0.15,1.0,,,,283.0690641789587,0.23927588179335935,0.3699837593623733,0.6467199592915247,-0.48214111020878336,0.569620253164557,284.0690641789587,True,1.0026938682556328,0.19059707456982194,0.4090428036833711,0.5652612484876682,0.8210939367201646,0.19250531233903687,0.5560939765720866,0.5570911908910822,1.018774591431286,0.18052150518317672,0.5520678772988746,0.5911613182200188,1.0017967578639704,0.15372233657577017,0.4672532452835965,0.47253043866013655,0.9400668919260073,0.21878233389446544,0.4748180627572248,0.6653182763335154
raw_3-1 | long_only | equal | top20,raw_3-1,momentum,3.0,1,raw_momentum,long_only,20,equal,,1.0,,,,99.57978552722226,0.19136465190296414,0.2860230547513637,0.6690532414224968,-0.47882757726933367,0.5759493670886076,100.57978552722226,True,0.9781094010950431,0.12776816429837665,0.5161422976382612,0.5133994988612459,0.8117363259613836,0.12846197446834684,0.7111348259201326,0.5231647197454259,0.9524941659182412,0.12203292685642668,0.6676645496196746,0.5504424311662308,0.7528224545733143,0.12494311010974399,0.4439451654638873,0.36669837370822017,0.9250212603446588,0.15648106540999182,0.5983863900030499,0.6634469255132592
raw_3-1 | long_only | scaled cap25 | top20,raw_3-1,momentum,3.0,1,raw_momentum,long_only,20,scaled,0.25,1.0,,,,332.8841957353638,0.2469032424159776,0.3536094214689813,0.6982371719347303,-0.45143578499766435,0.569620253164557,333.8841957353638,True,0.9703696676592746,0.19409220765650143,0.4141869804953338,0.5946446148154632,0.7983587195478353,0.1955341916416929,0.5657339632679137,0.5869069210627514,0.9960719797842384,0.18333650193351814,0.5647599998099854,0.6269199714995038,0.9423708399245714,0.15021583414954437,0.46316546301667144,0.4635029795042206,0.9212963711986198,0.2035956199167313,0.4907727477766579,0.6563959393929548
raw_3-1 | long_only | scaled cap20 | top20,raw_3-1,momentum,3.0,1,raw_momentum,long_only,20,scaled,0.2,1.0,,,,352.90844794794555,0.24966419417103958,0.3503961194133779,0.7125198606337864,-0.45143578499766435,0.5727848101265823,353.90844794794555,True,0.975667375362679,0.19491675425035188,0.42026725526016423,0.6060652727357559,0.7997621895704035,0.19668686790212636,0.5719256666132458,0.5997244779651388,0.9967790177895658,0.18457120335691232,0.5703436801620639,0.6401678017037904,0.9446318491523112,0.152986488808142,0.4681709377440394,0.4786693459663746,0.9248356445258501,0.2075265248317838,0.49695894232192195,0.6783191581391826
raw_3-1 | long_only | scaled cap15 | top20,raw_3-1,momentum,3.0,1,raw_momentum,long_only,20,scaled,0.15,1.0,,,,304.5579429049238,0.24271242965384587,0.3414802346986475,0.7107656754073537,-0.4527315968744693,0.5759493670886076,305.5579429049238,True,0.9747578030855588,0.18665871259875622,0.430838204674672,0.5982458125710253,0.7981475540367674,0.18852135749862828,0.5856735655651193,0.5922683661948849,0.9939038792625045,0.1765156576344004,0.5835470102156272,0.6343456127678032,0.9342355395225976,0.1506684644199746,0.4730776499012489,0.47873360745191795,0.9185794092349616,0.2055026683606243,0.5049161138976757,0.6897044530106982
raw_3-1 | long_only | equal | top30,raw_3-1,momentum,3.0,1,raw_momentum,long_only,30,equal,,1.0,,,,89.90978595995453,0.18680022248467365,0.26188430317392425,0.713292932110615,-0.46305233361848064,0.5791139240506329,90.90978595995453,True,0.9636543307570048,0.11896367174442808,0.5553859224100813,0.5309566997087174,0.7972208316537216,0.11992023876775927,0.7627938391139051,0.5539724832371358,0.9200122579327404,0.11513730037364023,0.7043380963054751,0.5745661803008848,0.6809153068022863,0.12347931034598365,0.43499716243130876,0.35201615365802463,0.909395771991793,0.14896276910807923,0.6402028801011937,0.7121802411657606
raw_3-1 | long_only | scaled cap25 | top30,raw_3-1,momentum,3.0,1,raw_momentum,long_only,30,scaled,0.25,1.0,,,,233.55455267395348,0.2302950049901311,0.32337609298384534,0.712158412408167,-0.45445562938270756,0.5791139240506329,234.55455267395348,True,0.9767272753001873,0.1705361144360314,0.4558778215622452,0.5851395536373675,0.8006542181387516,0.1723056345776225,0.6204047198396325,0.583008530775576,0.9816258036366257,0.16178843436420506,0.6086044034138005,0.6233705470322298,0.8744480896774451,0.14051076809192792,0.46409045969644225,0.4391918991748727,0.9191357480755771,0.1854053659946552,0.5307957812725874,0.6647153188216658
raw_3-1 | long_only | scaled cap20 | top30,raw_3-1,momentum,3.0,1,raw_momentum,long_only,30,scaled,0.2,1.0,,,,232.30161913264706,0.23004479424009538,0.3221040374876033,0.7141940723079233,-0.45445562938270767,0.5791139240506329,233.30161913264706,True,0.9789693772811305,0.16980680290737846,0.4587287891594284,0.5865893253518785,0.8019160346353971,0.17164281907722895,0.6238364343438088,0.5852793072314852,0.9822077124634406,0.1612046938667178,0.6113701142816809,0.625455648313116,0.8743154695358779,0.1401072503374306,0.4662605767025299,0.4403995862699417,0.921913970876285,0.1854947494057995,0.5350599826023784,0.6709225010609111
