strategy_name,name,signal_type,lookback_months,skip_months,signal_family,strategy_type,top_n,weighting,max_weight,gross_exposure,volatility_lookback_months,fast_months,slow_months,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,win_rate,final_value,valid_for_chart,beta_SPY,alpha_SPY,corr_SPY,info_ratio_SPY,beta_XLE,alpha_XLE,corr_XLE,info_ratio_XLE,beta_XLB,alpha_XLB,corr_XLB,info_ratio_XLB,beta_GLD,alpha_GLD,corr_GLD,info_ratio_GLD,beta_DBC,alpha_DBC,corr_DBC,info_ratio_DBC
raw_6-1 | long_only | scaled cap25 | top20,raw_6-1,momentum,6.0,1,raw_momentum,long_only,20,scaled,0.25,1.0,,,,1545.430685518178,0.32517932081278,0.35677121439611725,0.9114505534399384,-0.5621773901014837,0.610223642172524,1546.430685518178,True,1.0242058217307182,0.25129570886531755,0.43445192524297527,0.7889518116311779,0.890259272669391,0.2504677121172499,0.625126131933668,0.8529008537143467,0.9855101529552361,0.24196584933852244,0.5532503652275609,0.8089653359809457,0.9533199465366992,0.1899538006010177,0.46436081284378317,0.5908676232839333,1.0577559682839546,0.2464708290950196,0.5602751565932815,0.8510863102427334
raw_6-1 | long_only | scaled cap20 | top20,raw_6-1,momentum,6.0,1,raw_momentum,long_only,20,scaled,0.2,1.0,,,,1361.1312413378594,0.31874780272978764,0.3501211006049003,0.9103930102444286,-0.5569783352879263,0.6006389776357828,1362.1312413378594,True,1.008867875985978,0.24566455413349356,0.4360741081632184,0.7822973146325582,0.8839576506779415,0.24409254825240437,0.6324906776009448,0.8491681041073434,0.972567618840074,0.23628225396998342,0.5563549212476184,0.8020374020262663,0.9501365988411611,0.1840907592571724,0.4721837084893549,0.5852235183458843,1.042284121941355,0.24068637486720884,0.5639738555884282,0.8500060769028213
voladj6_6-1 | long_only | scaled cap20 | top10,voladj6_6-1,volatility_adjusted,6.0,1,vol_adjusted_momentum,long_only,10,scaled,0.2,1.0,6.0,,,421.3283773720501,0.2617884526440508,0.29039743433718984,0.9014833524323764,-0.5537767276228518,0.6282051282051282,422.3283773720501,True,0.8691586039889653,0.19451120937567265,0.4534681257319244,0.7021414272805773,0.7317889757132644,0.19581683449489634,0.631880785068123,0.7086716475056944,0.842366202134076,0.18673499503309934,0.5819098025146935,0.7136895075144918,0.7320895113941,0.16163411872159605,0.43877625327624786,0.5018878109852157,0.8447436659981582,0.21346968306184833,0.5500286162282803,0.8610180434073988
voladj6_6-1 | long_only | scaled cap15 | top20,voladj6_6-1,volatility_adjusted,6.0,1,vol_adjusted_momentum,long_only,20,scaled,0.15,1.0,6.0,,,314.5780798271977,0.24772677130791165,0.2751346185403773,0.9003838652588773,-0.5416651830359396,0.6089743589743589,315.5780798271977,True,0.895530423348015,0.17649514895640028,0.4931461117486819,0.6950092391243035,0.7532870797717465,0.17791759099380805,0.6865265566538479,0.7207636128896436,0.8503465200937812,0.17034318301775075,0.620009315775182,0.7089192548614797,0.7336971050856677,0.14995629365745308,0.45939285673489677,0.4832391714415232,0.8503028688280589,0.1948522358235661,0.5797727533376262,0.8418253152280579
raw_6-1 | long_only | scaled cap15 | top20,raw_6-1,momentum,6.0,1,raw_momentum,long_only,20,scaled,0.15,1.0,,,,1049.6334174221215,0.3056849103721042,0.3397586172165304,0.8997120157729193,-0.5512921491574025,0.6006389776357828,1050.6334174221215,True,0.9871307404594828,0.23422880384459743,0.4396919239639692,0.7636508815222611,0.8706206394367367,0.2320764533733277,0.6419473832240146,0.8310148937179171,0.9554329850363282,0.22464438724436006,0.5632227169940923,0.7829803892368212,0.9391513198720194,0.17581740973934684,0.4812841908007812,0.5743844883842616,1.0186137532643555,0.23136223447482235,0.5692889572954413,0.8449571234360199
raw_6-1 | long_only | scaled cap20 | top30,raw_6-1,momentum,6.0,1,raw_momentum,long_only,30,scaled,0.2,1.0,,,,839.1281630098642,0.2945400293586913,0.32833963647879794,0.8970590103510417,-0.5374968720106277,0.6038338658146964,840.1281630098642,True,1.0078129167574912,0.21970662715078593,0.46451623773069317,0.7580982089579653,0.871597924866737,0.21936660868126936,0.6650186566602116,0.8311376504603677,0.9644271188737474,0.21108793944400192,0.5882968377663308,0.7805689956294021,0.8835110713096158,0.1719023105258266,0.46560957644792456,0.5487450173734107,1.0248486744087388,0.22002843271475836,0.5890900233743988,0.8417989976718412
raw_6-1 | long_only | scaled cap25 | top30,raw_6-1,momentum,6.0,1,raw_momentum,long_only,30,scaled,0.25,1.0,,,,863.3081051128935,0.2959490659169579,0.3302521367100887,0.8961306620606556,-0.5374968720106277,0.6006389776357828,864.3081051128935,True,1.0153961421884174,0.22065979107479766,0.46530119249224755,0.7597068190855202,0.8742965499505057,0.2207324784879993,0.6632146076716586,0.831598000547153,0.9677018834439465,0.2123976245634179,0.5868760184548533,0.7813040399856507,0.88384647573335,0.17375436338631867,0.4631742072013515,0.5513948407975071,1.0336685862298851,0.22198261473404818,0.5904947802180208,0.8462191508545597
raw_6-1 | long_only | scaled cap15 | top30,raw_6-1,momentum,6.0,1,raw_momentum,long_only,30,scaled,0.15,1.0,,,,737.9038675824422,0.2881837381638044,0.322207258473626,0.8944048607998488,-0.5315742669154422,0.6038338658146964,738.9038675824422,True,0.9945970523517084,0.21418084379482305,0.46714977151403786,0.7500441288977466,0.86558197376561,0.21326282229411914,0.6729981005478425,0.8259749924901467,0.952404512483505,0.20560911132809934,0.5920202170870864,0.7718808117520622,0.87771577702481,0.1665667423111723,0.4719018299750962,0.5405447486825607,1.0087099466165805,0.21413159522058306,0.5924819607959747,0.8375768825581321
voladj6_6-1 | long_only | scaled cap20 | top20,voladj6_6-1,volatility_adjusted,6.0,1,vol_adjusted_momentum,long_only,20,scaled,0.2,1.0,6.0,,,309.54605768291015,0.24695563109770946,0.27628390974737826,0.8938473156960705,-0.5373926286370356,0.6089743589743589,310.54605768291015,True,0.893736675494424,0.17629277314746508,0.49011104997790883,0.6891902872301083,0.7515287058162818,0.17773966599881502,0.6820748593318758,0.7120873000134618,0.8476348099201028,0.1702598470505078,0.6154612366207948,0.7009617835976361,0.7345216422650132,0.1483074134455367,0.459096851857238,0.47612404761044075,0.8503811033392559,0.19344944398021668,0.5797707071855509,0.8355254621577473
raw_6-1 | long_only | equal | top20,raw_6-1,momentum,6.0,1,raw_momentum,long_only,20,equal,,1.0,,,,374.41684699083373,0.25517246323656595,0.2866521068558109,0.8901817120253034,-0.508478519631911,0.6006389776357828,375.41684699083373,True,0.9553799885805366,0.18095036256921096,0.5043886378369088,0.7140822526532891,0.8338756271762157,0.17980777712404553,0.7287643121401659,0.8070381913027801,0.9112211298333321,0.17310073468717802,0.6366768469013895,0.7382127199544094,0.7679645667629222,0.15740111151274438,0.45958487325542957,0.5081916281180129,0.9359970299484721,0.19332870154192694,0.6174010205452339,0.8563998055303508
voladj6_6-1 | long_only | scaled cap15 | top10,voladj6_6-1,volatility_adjusted,6.0,1,vol_adjusted_momentum,long_only,10,scaled,0.15,1.0,6.0,,,343.0261330037366,0.25187569860111836,0.28335704269917605,0.8888986707435409,-0.5325583870140468,0.625,344.0261330037366,True,0.8660857274575979,0.18472856160370338,0.4630921057789825,0.6834107149910219,0.7377341890397378,0.1850961119875965,0.6528418108618268,0.6967078510005742,0.839828504998971,0.1769332300185947,0.5945715362287163,0.6953215576116811,0.7204444517219771,0.16031053863218964,0.44233489607434895,0.5036416305597077,0.8376575903034,0.211437409995552,0.5596213555573686,0.8793466431826925
